,PA
2018-07-16 17:46:00,8219.0592076
2018-07-16 17:47:00,8221.9242076
2018-07-16 17:48:00,8221.9242076
2018-07-16 17:49:00,8223.8342076
2018-07-16 17:50:00,8224.7892076
2018-07-16 17:51:00,8220.0142076
2018-07-16 17:52:00,8220.0142076
2018-07-16 17:53:00,8221.9242076
2018-07-16 17:54:00,8223.8342076
2018-07-16 17:55:00,8224.7892076
2018-07-16 17:56:00,8224.7892076
2018-07-16 17:57:00,8224.7892076
2018-07-16 17:58:00,8224.7892076
2018-07-16 17:59:00,8224.7892076
2018-07-16 18:00:00,8224.7892076
2018-07-16 18:01:00,8224.7892076
2018-07-16 18:02:00,8224.7892076
2018-07-16 18:03:00,8224.7892076
2018-07-16 18:04:00,8224.7892076
2018-07-16 18:05:00,8224.7892076
2018-07-16 18:06:00,8224.7892076
2018-07-16 18:07:00,8224.7892076
2018-07-16 18:08:00,8224.7892076
2018-07-16 18:09:00,8224.7892076
2018-07-16 18:10:00,8224.7892076
2018-07-16 18:11:00,8224.7892076
2018-07-16 18:12:00,8224.7892076
2018-07-16 18:13:00,8224.7892076
2018-07-16 18:14:00,8224.7892076
2018-07-16 18:15:00,8224.7892076
2018-07-16 18:16:00,8224.7892076
2018-07-16 18:17:00,8224.7892076
2018-07-16 18:18:00,8223.8342076
2018-07-16 18:19:00,8224.7892076
2018-07-16 18:20:00,8224.7892076
2018-07-16 18:21:00,8224.7892076
2018-07-16 18:22:00,8224.7892076
2018-07-16 18:23:00,8224.7892076
2018-07-16 18:24:00,8224.7892076
2018-07-16 18:25:00,8224.7892076
2018-07-16 18:26:00,8224.7892076
2018-07-16 18:27:00,8224.7892076
2018-07-16 18:28:00,8230.5192076
2018-07-16 18:29:00,8230.5192076
2018-07-16 18:30:00,8230.5192076
2018-07-16 18:31:00,8230.5192076
2018-07-16 18:32:00,8230.5192076
2018-07-16 18:33:00,8229.5642076
2018-07-16 18:34:00,8229.5642076
2018-07-16 18:35:00,8229.5642076
2018-07-16 18:36:00,8229.5642076
2018-07-16 18:37:00,8229.5642076
2018-07-16 18:38:00,8229.5642076
2018-07-16 18:39:00,8228.6092076
2018-07-16 18:40:00,8229.5642076
2018-07-16 18:41:00,8232.4292076
2018-07-16 18:42:00,8232.4292076
2018-07-16 18:43:00,8238.1592076
2018-07-16 18:44:00,8238.1592076
2018-07-16 18:45:00,8237.2042076
2018-07-16 18:46:00,8237.2042076
2018-07-16 18:47:00,8238.1592076
2018-07-16 18:48:00,8239.1142076
2018-07-16 18:49:00,8238.1592076
2018-07-16 18:50:00,8238.1592076
2018-07-16 18:51:00,8238.1592076
2018-07-16 18:52:00,8239.1142076
2018-07-16 18:53:00,8239.1142076
2018-07-16 18:54:00,8239.1142076
2018-07-16 18:55:00,8239.1142076
2018-07-16 18:56:00,8239.1142076
2018-07-16 18:57:00,8239.1142076
2018-07-16 18:58:00,8239.1142076
2018-07-16 18:59:00,8234.3392076
2018-07-16 19:00:00,8234.3392076
2018-07-16 19:01:00,8234.3392076
2018-07-16 19:02:00,8233.3842076
2018-07-16 19:03:00,8233.3842076
2018-07-16 19:04:00,8233.3842076
2018-07-16 19:05:00,8236.2492076
2018-07-16 19:06:00,8236.2492076
2018-07-16 19:07:00,8236.2492076
2018-07-16 19:08:00,8230.5192076
2018-07-16 19:09:00,8230.5192076
2018-07-16 19:10:00,8226.6992076
2018-07-16 19:11:00,8231.4742076
2018-07-16 19:12:00,8232.4292076
2018-07-16 19:13:00,8232.4292076
2018-07-16 19:14:00,8232.4292076
2018-07-16 19:15:00,8232.4292076
2018-07-16 19:16:00,8232.4292076
2018-07-16 19:17:00,8232.4292076
2018-07-16 19:18:00,8232.4292076
2018-07-16 19:19:00,8232.4292076
2018-07-16 19:20:00,8232.4292076
2018-07-16 19:21:00,8232.4292076
2018-07-16 19:22:00,8231.4742076
2018-07-16 19:23:00,8231.4742076
2018-07-16 19:24:00,8231.4742076
2018-07-16 19:25:00,8231.4742076
2018-07-16 19:26:00,8231.4742076
2018-07-16 19:27:00,8244.8442076
2018-07-16 19:28:00,8244.8442076
2018-07-16 19:29:00,8245.7992076
2018-07-16 19:30:00,8245.7992076
2018-07-16 19:31:00,8245.7992076
2018-07-16 19:32:00,8245.7992076
2018-07-16 19:33:00,8245.7992076
2018-07-16 19:34:00,8244.8442076
2018-07-16 19:35:00,8244.8442076
2018-07-16 19:36:00,8244.8442076
2018-07-16 19:37:00,8244.8442076
2018-07-16 19:38:00,8244.8442076
2018-07-16 19:39:00,8244.8442076
2018-07-16 19:40:00,8244.8442076
2018-07-16 19:41:00,8244.8442076
2018-07-16 19:42:00,8244.8442076
2018-07-16 19:43:00,8244.8442076
2018-07-16 19:44:00,8244.8442076
2018-07-16 19:45:00,8244.8442076
2018-07-16 19:46:00,8246.7542076
2018-07-16 19:47:00,8246.7542076
2018-07-16 19:48:00,8246.7542076
2018-07-16 19:49:00,8251.5292076
2018-07-16 19:50:00,8251.5292076
2018-07-16 19:51:00,8251.5292076
2018-07-16 19:52:00,8251.5292076
2018-07-16 19:53:00,8253.4392076
2018-07-16 19:54:00,8253.4392076
2018-07-16 19:55:00,8253.4392076
2018-07-16 19:56:00,8253.4392076
2018-07-16 19:57:00,8245.7992076
2018-07-16 19:58:00,8240.0692076
2018-07-16 19:59:00,8242.9342076
2018-07-16 20:00:00,8244.8442076
2018-07-16 20:01:00,8241.0242076
2018-07-16 20:02:00,8241.0242076
2018-07-16 20:03:00,8241.0242076
2018-07-16 20:04:00,8241.0242076
2018-07-16 20:05:00,8238.1592076
2018-07-16 20:06:00,8238.1592076
2018-07-16 20:07:00,8238.1592076
2018-07-16 20:08:00,8238.1592076
2018-07-16 20:09:00,8239.1142076
2018-07-16 20:10:00,8239.1142076
2018-07-16 20:11:00,8251.5292076
2018-07-16 20:12:00,8252.4842076
2018-07-16 20:13:00,8253.4392076
2018-07-16 20:14:00,8252.4842076
2018-07-16 20:15:00,8256.3042076
2018-07-16 20:16:00,8262.0342076
2018-07-16 20:17:00,8257.2592076
2018-07-16 20:18:00,8256.3042076
2018-07-16 20:19:00,8253.4392076
2018-07-16 20:20:00,8251.5292076
2018-07-16 20:21:00,8248.6642076
2018-07-16 20:22:00,8264.8992076
2018-07-16 20:23:00,8263.9442076
2018-07-16 20:24:00,8263.9442076
2018-07-16 20:25:00,8263.9442076
2018-07-16 20:26:00,8263.9442076
2018-07-16 20:27:00,8263.9442076
2018-07-16 20:28:00,8263.9442076
2018-07-16 20:29:00,8263.9442076
2018-07-16 20:30:00,8284.9542076
2018-07-16 20:31:00,8280.1792076
2018-07-16 20:32:00,8282.0892076
2018-07-16 20:33:00,8280.1792076
2018-07-16 20:34:00,8280.1792076
2018-07-16 20:35:00,8276.3592076
2018-07-16 20:36:00,8273.4942076
2018-07-16 20:37:00,8275.4042076
2018-07-16 20:38:00,8275.4042076
2018-07-16 20:39:00,8276.3592076
2018-07-16 20:40:00,8278.2692076
2018-07-16 20:41:00,8285.9092076
2018-07-16 20:42:00,8291.6392076
2018-07-16 20:43:00,8291.6392076
2018-07-16 20:44:00,8291.6392076
2018-07-16 20:45:00,8290.6842076
2018-07-16 20:46:00,8288.7742076
2018-07-16 20:47:00,8288.7742076
2018-07-16 20:48:00,8290.6842076
2018-07-16 20:49:00,8290.6842076
2018-07-16 20:50:00,8288.7742076
2018-07-16 20:51:00,8293.5492076
2018-07-16 20:52:00,8293.5492076
2018-07-16 20:53:00,8293.5492076
2018-07-16 20:54:00,8293.5492076
2018-07-16 20:55:00,8293.5492076
2018-07-16 20:56:00,8293.5492076
2018-07-16 20:57:00,8299.2792076
2018-07-16 20:58:00,8299.2792076
2018-07-16 20:59:00,8300.2342076
2018-07-16 21:00:00,8300.2342076
2018-07-16 21:01:00,8300.2342076
2018-07-16 21:02:00,8300.2342076
2018-07-16 21:03:00,8292.5942076
2018-07-16 21:04:00,8301.1892076
2018-07-16 21:05:00,8301.1892076
2018-07-16 21:06:00,8305.0092076
2018-07-16 21:07:00,8306.9192076
2018-07-16 21:08:00,8306.9192076
2018-07-16 21:09:00,8305.9642076
2018-07-16 21:10:00,8305.9642076
2018-07-16 21:11:00,8306.9192076
2018-07-16 21:12:00,8311.6942076
2018-07-16 21:13:00,8318.3792076
2018-07-16 21:14:00,8318.3792076
2018-07-16 21:15:00,8318.3792076
2018-07-16 21:16:00,8318.3792076
2018-07-16 21:17:00,8318.3792076
2018-07-16 21:18:00,8319.3342076
2018-07-16 21:19:00,8319.3342076
2018-07-16 21:20:00,8319.3342076
2018-07-16 21:21:00,8327.9292076
2018-07-16 21:22:00,8324.1092076
2018-07-16 21:23:00,8312.6492076
2018-07-16 21:24:00,8309.7842076
2018-07-16 21:25:00,8309.7842076
2018-07-16 21:26:00,8312.6492076
2018-07-16 21:27:00,8313.6042076
2018-07-16 21:28:00,8315.5142076
2018-07-16 21:29:00,8315.5142076
2018-07-16 21:30:00,8314.5592076
2018-07-16 21:31:00,8313.6042076
2018-07-16 21:32:00,8313.6042076
2018-07-16 21:33:00,8313.6042076
2018-07-16 21:34:00,8312.6492076
2018-07-16 21:35:00,8312.6492076
2018-07-16 21:36:00,8312.6492076
2018-07-16 21:37:00,8313.6042076
2018-07-16 21:38:00,8309.7842076
2018-07-16 21:39:00,8309.7842076
2018-07-16 21:40:00,8311.6942076
2018-07-16 21:41:00,8312.6492076
2018-07-16 21:42:00,8312.6492076
2018-07-16 21:43:00,8307.8742076
2018-07-16 21:44:00,8307.8742076
2018-07-16 21:45:00,8305.9642076
2018-07-16 21:46:00,8303.0992076
2018-07-16 21:47:00,8303.0992076
2018-07-16 21:48:00,8303.0992076
2018-07-16 21:49:00,8301.1892076
2018-07-16 21:50:00,8301.1892076
2018-07-16 21:51:00,8301.1892076
2018-07-16 21:52:00,8300.2342076
2018-07-16 21:53:00,8300.2342076
2018-07-16 21:54:00,8300.2342076
2018-07-16 21:55:00,8300.2342076
2018-07-16 21:56:00,8300.2342076
2018-07-16 21:57:00,8300.2342076
2018-07-16 21:58:00,8298.3242076
2018-07-16 21:59:00,8299.2792076
2018-07-16 22:00:00,8302.1442076
2018-07-16 22:01:00,8303.0992076
2018-07-16 22:02:00,8303.0992076
2018-07-16 22:03:00,8303.0992076
2018-07-16 22:04:00,8303.0992076
2018-07-16 22:05:00,8302.1442076
2018-07-16 22:06:00,8302.1442076
2018-07-16 22:07:00,8303.0992076
2018-07-16 22:08:00,8307.8742076
2018-07-16 22:09:00,8320.2892076
2018-07-16 22:10:00,8320.2892076
2018-07-16 22:11:00,8319.3342076
2018-07-16 22:12:00,8319.3342076
2018-07-16 22:13:00,8317.4242076
2018-07-16 22:14:00,8311.6942076
2018-07-16 22:15:00,8314.5592076
2018-07-16 22:16:00,8315.5142076
2018-07-16 22:17:00,8315.5142076
2018-07-16 22:18:00,8315.5142076
2018-07-16 22:19:00,8315.5142076
2018-07-16 22:20:00,8315.5142076
2018-07-16 22:21:00,8318.3792076
2018-07-16 22:22:00,8319.3342076
2018-07-16 22:23:00,8319.3342076
2018-07-16 22:24:00,8320.2892076
2018-07-16 22:25:00,8321.2442076
2018-07-16 22:26:00,8326.0192076
2018-07-16 22:27:00,8325.0642076
2018-07-16 22:28:00,8326.0192076
2018-07-16 22:29:00,8326.9742076
2018-07-16 22:30:00,8319.3342076
2018-07-16 22:31:00,8317.4242076
2018-07-16 22:32:00,8316.4692076
2018-07-16 22:33:00,8315.5142076
2018-07-16 22:34:00,8315.5142076
2018-07-16 22:35:00,8315.5142076
2018-07-16 22:36:00,8316.4692076
2018-07-16 22:37:00,8317.4242076
2018-07-16 22:38:00,8317.4242076
2018-07-16 22:39:00,8317.4242076
2018-07-16 22:40:00,8320.2892076
2018-07-16 22:41:00,8320.2892076
2018-07-16 22:42:00,8320.2892076
2018-07-16 22:43:00,8320.2892076
2018-07-16 22:44:00,8320.2892076
2018-07-16 22:45:00,8321.2442076
2018-07-16 22:46:00,8321.2442076
2018-07-16 22:47:00,8305.9642076
2018-07-16 22:48:00,8317.4242076
2018-07-16 22:49:00,8314.5592076
2018-07-16 22:50:00,8320.2892076
2018-07-16 22:51:00,8320.2892076
2018-07-16 22:52:00,8320.2892076
2018-07-16 22:53:00,8320.2892076
2018-07-16 22:54:00,8320.2892076
2018-07-16 22:55:00,8321.2442076
2018-07-16 22:56:00,8321.2442076
2018-07-16 22:57:00,8321.2442076
2018-07-16 22:58:00,8321.2442076
2018-07-16 22:59:00,8321.2442076
2018-07-16 23:00:00,8321.2442076
2018-07-16 23:01:00,8321.2442076
2018-07-16 23:02:00,8321.2442076
2018-07-16 23:03:00,8319.3342076
2018-07-16 23:04:00,8319.3342076
2018-07-16 23:05:00,8319.3342076
