,L_RED
2018-08-28 09:48:00,336.982368971
2018-08-28 09:49:00,336.982368971
2018-08-28 09:50:00,336.982368971
2018-08-28 09:51:00,336.982368971
2018-08-28 09:52:00,336.982368971
2018-08-28 09:53:00,314.958759409
2018-08-28 09:54:00,314.958759409
2018-08-28 09:55:00,314.958759409
2018-08-28 09:56:00,314.958759409
2018-08-28 09:57:00,314.958759409
2018-08-28 09:58:00,314.958759409
2018-08-28 09:59:00,325.97056419
2018-08-28 10:00:00,336.982368971
2018-08-28 10:01:00,336.982368971
2018-08-28 10:02:00,325.97056419
2018-08-28 10:03:00,325.97056419
2018-08-28 10:04:00,325.97056419
2018-08-28 10:05:00,325.97056419
2018-08-28 10:06:00,325.97056419
2018-08-28 10:07:00,325.97056419
2018-08-28 10:08:00,325.97056419
2018-08-28 10:09:00,325.97056419
2018-08-28 10:10:00,325.97056419
2018-08-28 10:11:00,325.97056419
2018-08-28 10:12:00,325.97056419
2018-08-28 10:13:00,336.982368971
2018-08-28 10:14:00,336.982368971
2018-08-28 10:15:00,314.958759409
2018-08-28 10:16:00,314.958759409
2018-08-28 10:17:00,314.958759409
2018-08-28 10:18:00,314.958759409
2018-08-28 10:19:00,314.958759409
2018-08-28 10:20:00,292.935149846
2018-08-28 10:21:00,292.935149846
2018-08-28 10:22:00,292.935149846
2018-08-28 10:23:00,292.935149846
2018-08-28 10:24:00,292.935149846
2018-08-28 10:25:00,292.935149846
2018-08-28 10:26:00,292.935149846
2018-08-28 10:27:00,292.935149846
2018-08-28 10:28:00,292.935149846
2018-08-28 10:29:00,292.935149846
2018-08-28 10:30:00,292.935149846
2018-08-28 10:31:00,292.935149846
2018-08-28 10:32:00,303.946954628
2018-08-28 10:33:00,303.946954628
2018-08-28 10:34:00,314.958759409
2018-08-28 10:35:00,314.958759409
2018-08-28 10:36:00,292.935149846
2018-08-28 10:37:00,292.935149846
2018-08-28 10:38:00,281.923345065
2018-08-28 10:39:00,292.935149846
2018-08-28 10:40:00,292.935149846
2018-08-28 10:41:00,292.935149846
2018-08-28 10:42:00,292.935149846
2018-08-28 10:43:00,292.935149846
2018-08-28 10:44:00,292.935149846
2018-08-28 10:45:00,292.935149846
2018-08-28 10:46:00,292.935149846
2018-08-28 10:47:00,292.935149846
2018-08-28 10:48:00,292.935149846
2018-08-28 10:49:00,292.935149846
2018-08-28 10:50:00,292.935149846
2018-08-28 10:51:00,292.935149846
2018-08-28 10:52:00,292.935149846
2018-08-28 10:53:00,292.935149846
2018-08-28 10:54:00,292.935149846
2018-08-28 10:55:00,292.935149846
2018-08-28 10:56:00,292.935149846
2018-08-28 10:57:00,292.935149846
2018-08-28 10:58:00,292.935149846
2018-08-28 10:59:00,292.935149846
2018-08-28 11:00:00,292.935149846
2018-08-28 11:01:00,292.935149846
2018-08-28 11:02:00,292.935149846
2018-08-28 11:03:00,292.935149846
2018-08-28 11:04:00,292.935149846
2018-08-28 11:05:00,281.923345065
2018-08-28 11:06:00,281.923345065
2018-08-28 11:07:00,281.923345065
2018-08-28 11:08:00,281.923345065
2018-08-28 11:09:00,281.923345065
2018-08-28 11:10:00,281.923345065
2018-08-28 11:11:00,281.923345065
2018-08-28 11:12:00,281.923345065
2018-08-28 11:13:00,259.899735503
2018-08-28 11:14:00,259.899735503
2018-08-28 11:15:00,259.899735503
2018-08-28 11:16:00,248.887930721
2018-08-28 11:17:00,248.887930721
2018-08-28 11:18:00,237.87612594
2018-08-28 11:19:00,237.87612594
2018-08-28 11:20:00,237.87612594
2018-08-28 11:21:00,237.87612594
2018-08-28 11:22:00,248.887930721
2018-08-28 11:23:00,248.887930721
2018-08-28 11:24:00,248.887930721
2018-08-28 11:25:00,248.887930721
2018-08-28 11:26:00,248.887930721
2018-08-28 11:27:00,248.887930721
2018-08-28 11:28:00,248.887930721
2018-08-28 11:29:00,248.887930721
2018-08-28 11:30:00,248.887930721
2018-08-28 11:31:00,248.887930721
2018-08-28 11:32:00,248.887930721
2018-08-28 11:33:00,248.887930721
2018-08-28 11:34:00,248.887930721
2018-08-28 11:35:00,248.887930721
2018-08-28 11:36:00,248.887930721
2018-08-28 11:37:00,248.887930721
2018-08-28 11:38:00,248.887930721
2018-08-28 11:39:00,248.887930721
2018-08-28 11:40:00,248.887930721
2018-08-28 11:41:00,248.887930721
2018-08-28 11:42:00,237.87612594
2018-08-28 11:43:00,237.87612594
2018-08-28 11:44:00,237.87612594
2018-08-28 11:45:00,237.87612594
2018-08-28 11:46:00,237.87612594
2018-08-28 11:47:00,248.887930721
2018-08-28 11:48:00,248.887930721
2018-08-28 11:49:00,237.87612594
2018-08-28 11:50:00,237.87612594
2018-08-28 11:51:00,237.87612594
2018-08-28 11:52:00,237.87612594
2018-08-28 11:53:00,248.887930721
2018-08-28 11:54:00,248.887930721
2018-08-28 11:55:00,248.887930721
2018-08-28 11:56:00,248.887930721
2018-08-28 11:57:00,270.911540284
2018-08-28 11:58:00,270.911540284
2018-08-28 11:59:00,259.899735503
2018-08-29 01:29:00,149.78168769
2018-08-29 01:30:00,259.899735503
2018-08-29 01:31:00,270.911540284
2018-08-29 01:32:00,248.887930721
2018-08-29 01:33:00,248.887930721
2018-08-29 01:34:00,248.887930721
2018-08-29 01:35:00,248.887930721
2018-08-29 01:36:00,248.887930721
2018-08-29 01:37:00,248.887930721
2018-08-29 01:38:00,248.887930721
2018-08-29 01:39:00,248.887930721
2018-08-29 01:40:00,248.887930721
2018-08-29 01:41:00,248.887930721
2018-08-29 01:42:00,248.887930721
2018-08-29 01:43:00,237.87612594
2018-08-29 01:44:00,248.887930721
2018-08-29 01:45:00,248.887930721
2018-08-29 01:46:00,248.887930721
2018-08-29 01:47:00,248.887930721
2018-08-29 01:48:00,248.887930721
2018-08-29 01:49:00,248.887930721
2018-08-29 01:50:00,248.887930721
2018-08-29 01:51:00,248.887930721
2018-08-29 01:52:00,248.887930721
2018-08-29 01:53:00,248.887930721
2018-08-29 01:54:00,248.887930721
2018-08-29 01:55:00,248.887930721
2018-08-29 01:56:00,248.887930721
2018-08-29 01:57:00,248.887930721
2018-08-29 01:58:00,248.887930721
2018-08-29 01:59:00,248.887930721
2018-08-29 02:00:00,270.911540284
2018-08-29 02:01:00,270.911540284
2018-08-29 02:02:00,270.911540284
2018-08-29 02:03:00,270.911540284
2018-08-29 02:04:00,270.911540284
2018-08-29 02:05:00,270.911540284
2018-08-29 02:06:00,270.911540284
2018-08-29 02:07:00,270.911540284
2018-08-29 02:08:00,259.899735503
2018-08-29 02:09:00,259.899735503
2018-08-29 02:10:00,259.899735503
2018-08-29 02:11:00,270.911540284
2018-08-29 02:12:00,270.911540284
2018-08-29 02:13:00,270.911540284
2018-08-29 02:14:00,270.911540284
2018-08-29 02:15:00,248.887930721
2018-08-29 02:16:00,237.87612594
2018-08-29 02:17:00,226.864321159
2018-08-29 02:18:00,226.864321159
2018-08-29 02:19:00,237.87612594
2018-08-29 02:20:00,237.87612594
2018-08-29 02:21:00,226.864321159
2018-08-29 02:22:00,226.864321159
2018-08-29 02:23:00,226.864321159
2018-08-29 02:24:00,226.864321159
2018-08-29 02:25:00,226.864321159
2018-08-29 02:26:00,226.864321159
2018-08-29 02:27:00,226.864321159
2018-08-29 02:28:00,226.864321159
2018-08-29 02:29:00,248.887930721
2018-08-29 02:30:00,248.887930721
2018-08-29 02:31:00,248.887930721
2018-08-29 02:32:00,270.911540284
2018-08-29 02:33:00,270.911540284
2018-08-29 02:34:00,270.911540284
2018-08-29 02:35:00,270.911540284
2018-08-29 02:36:00,281.923345065
2018-08-29 02:37:00,281.923345065
2018-08-29 02:38:00,270.911540284
2018-08-29 02:39:00,281.923345065
2018-08-29 02:40:00,281.923345065
2018-08-29 02:41:00,281.923345065
2018-08-29 02:42:00,270.911540284
2018-08-29 02:43:00,270.911540284
2018-08-29 02:44:00,281.923345065
2018-08-29 02:45:00,281.923345065
2018-08-29 02:46:00,281.923345065
2018-08-29 02:47:00,281.923345065
2018-08-29 02:48:00,281.923345065
2018-08-29 02:49:00,281.923345065
2018-08-29 02:50:00,281.923345065
2018-08-29 02:51:00,292.935149846
2018-08-29 02:52:00,281.923345065
2018-08-29 02:53:00,292.935149846
2018-08-29 02:54:00,281.923345065
2018-08-29 02:55:00,292.935149846
2018-08-29 02:56:00,314.958759409
2018-08-29 02:57:00,303.946954628
2018-08-29 02:58:00,292.935149846
2018-08-29 02:59:00,292.935149846
2018-08-29 03:00:00,292.935149846
2018-08-29 03:01:00,270.911540284
2018-08-29 03:02:00,270.911540284
2018-08-29 03:03:00,270.911540284
2018-08-29 03:04:00,270.911540284
2018-08-29 03:05:00,270.911540284
2018-08-29 03:06:00,270.911540284
2018-08-29 03:07:00,270.911540284
2018-08-29 03:08:00,270.911540284
2018-08-29 03:09:00,270.911540284
2018-08-29 03:10:00,248.887930721
2018-08-29 03:11:00,248.887930721
2018-08-29 03:12:00,248.887930721
2018-08-29 03:13:00,237.87612594
2018-08-29 03:14:00,237.87612594
2018-08-29 03:15:00,237.87612594
2018-08-29 03:16:00,226.864321159
2018-08-29 03:17:00,215.852516378
2018-08-29 03:18:00,226.864321159
2018-08-29 03:19:00,215.852516378
2018-08-29 03:20:00,215.852516378
2018-08-29 03:21:00,215.852516378
2018-08-29 03:22:00,215.852516378
2018-08-29 03:23:00,215.852516378
2018-08-29 03:24:00,215.852516378
2018-08-29 03:25:00,215.852516378
2018-08-29 03:26:00,226.864321159
2018-08-29 03:27:00,226.864321159
2018-08-29 03:28:00,226.864321159
2018-08-29 03:29:00,226.864321159
2018-08-29 03:30:00,226.864321159
2018-08-29 03:31:00,248.887930721
2018-08-29 03:32:00,248.887930721
2018-08-29 03:33:00,226.864321159
2018-08-29 03:34:00,226.864321159
2018-08-29 03:35:00,248.887930721
2018-08-29 03:36:00,248.887930721
2018-08-29 03:37:00,248.887930721
2018-08-29 03:38:00,248.887930721
2018-08-29 03:39:00,248.887930721
2018-08-29 03:40:00,248.887930721
2018-08-29 03:41:00,237.87612594
2018-08-29 03:42:00,237.87612594
2018-08-29 03:43:00,237.87612594
2018-08-29 03:44:00,237.87612594
2018-08-29 03:45:00,226.864321159
2018-08-29 03:46:00,226.864321159
2018-08-29 03:47:00,226.864321159
2018-08-29 03:48:00,226.864321159
2018-08-29 03:49:00,226.864321159
2018-08-29 03:50:00,226.864321159
2018-08-29 03:51:00,226.864321159
2018-08-29 03:52:00,237.87612594
2018-08-29 03:53:00,237.87612594
2018-08-29 03:54:00,237.87612594
2018-08-29 03:55:00,237.87612594
2018-08-29 03:56:00,237.87612594
2018-08-29 03:57:00,237.87612594
2018-08-29 03:58:00,237.87612594
2018-08-29 03:59:00,237.87612594
2018-08-29 04:00:00,226.864321159
2018-08-29 04:01:00,226.864321159
2018-08-29 04:02:00,237.87612594
2018-08-29 04:03:00,237.87612594
2018-08-29 04:04:00,237.87612594
2018-08-29 04:05:00,237.87612594
2018-08-29 04:06:00,248.887930721
2018-08-29 04:07:00,248.887930721
2018-08-29 04:08:00,237.87612594
2018-08-29 04:09:00,237.87612594
2018-08-29 04:10:00,237.87612594
2018-08-29 04:11:00,237.87612594
2018-08-29 04:12:00,237.87612594
2018-08-29 04:13:00,237.87612594
2018-08-29 04:14:00,237.87612594
2018-08-29 04:15:00,237.87612594
2018-08-29 04:16:00,237.87612594
