,L_GREEN
2018-09-06 05:28:00,623.644106967
2018-09-06 05:29:00,614.875671398
2018-09-06 05:30:00,614.875671398
2018-09-06 05:31:00,614.875671398
2018-09-06 05:32:00,597.338800261
2018-09-06 05:33:00,606.10723583
2018-09-06 05:34:00,606.10723583
2018-09-06 05:35:00,606.10723583
2018-09-06 05:36:00,597.338800261
2018-09-06 05:37:00,597.338800261
2018-09-06 05:38:00,588.570364692
2018-09-06 05:39:00,588.570364692
2018-09-06 05:40:00,588.570364692
2018-09-06 05:41:00,562.265057986
2018-09-06 05:42:00,579.801929123
2018-09-06 05:43:00,571.033493555
2018-09-06 05:44:00,571.033493555
2018-09-06 05:45:00,579.801929123
2018-09-06 05:46:00,588.570364692
2018-09-06 05:47:00,588.570364692
2018-09-06 05:48:00,588.570364692
2018-09-06 05:49:00,588.570364692
2018-09-06 05:50:00,597.338800261
2018-09-06 05:51:00,597.338800261
2018-09-06 05:52:00,597.338800261
2018-09-06 05:53:00,588.570364692
2018-09-06 05:54:00,597.338800261
2018-09-06 05:55:00,597.338800261
2018-09-06 05:56:00,614.875671398
2018-09-06 05:57:00,606.10723583
2018-09-06 05:58:00,614.875671398
2018-09-06 05:59:00,614.875671398
2018-09-06 06:00:00,606.10723583
2018-09-06 06:01:00,606.10723583
2018-09-06 06:02:00,606.10723583
2018-09-06 06:03:00,623.644106967
2018-09-06 06:04:00,623.644106967
2018-09-06 06:05:00,623.644106967
2018-09-06 06:06:00,623.644106967
2018-09-06 06:07:00,632.412542536
2018-09-06 06:08:00,632.412542536
2018-09-06 06:09:00,632.412542536
2018-09-06 06:10:00,623.644106967
2018-09-06 06:11:00,632.412542536
2018-09-06 06:12:00,632.412542536
2018-09-06 06:13:00,632.412542536
2018-09-06 06:14:00,632.412542536
2018-09-06 06:15:00,632.412542536
2018-09-06 06:16:00,632.412542536
2018-09-06 06:17:00,632.412542536
2018-09-06 06:18:00,632.412542536
2018-09-06 06:19:00,632.412542536
2018-09-06 06:20:00,614.875671398
2018-09-06 06:21:00,623.644106967
2018-09-06 06:22:00,623.644106967
2018-09-06 06:23:00,623.644106967
2018-09-06 06:24:00,623.644106967
2018-09-06 06:25:00,614.875671398
2018-09-06 06:26:00,623.644106967
2018-09-06 06:27:00,623.644106967
2018-09-06 06:28:00,623.644106967
2018-09-06 06:29:00,614.875671398
2018-09-06 06:30:00,623.644106967
2018-09-06 06:31:00,623.644106967
2018-09-06 06:32:00,623.644106967
2018-09-06 06:33:00,623.644106967
2018-09-06 06:34:00,606.10723583
2018-09-06 06:35:00,606.10723583
2018-09-06 06:36:00,606.10723583
2018-09-06 06:37:00,606.10723583
2018-09-06 06:38:00,623.644106967
2018-09-06 06:39:00,606.10723583
2018-09-06 06:40:00,623.644106967
2018-09-06 06:41:00,623.644106967
2018-09-06 06:42:00,588.570364692
2018-09-06 06:43:00,597.338800261
2018-09-06 06:44:00,606.10723583
2018-09-06 06:45:00,606.10723583
2018-09-06 06:46:00,606.10723583
2018-09-06 06:47:00,606.10723583
2018-09-06 06:48:00,623.644106967
2018-09-06 06:49:00,623.644106967
2018-09-06 06:50:00,606.10723583
2018-09-06 06:51:00,623.644106967
2018-09-06 06:52:00,623.644106967
2018-09-06 06:53:00,606.10723583
2018-09-06 06:54:00,588.570364692
2018-09-06 06:55:00,588.570364692
2018-09-06 06:56:00,588.570364692
2018-09-06 06:57:00,597.338800261
2018-09-06 06:58:00,606.10723583
2018-09-06 06:59:00,597.338800261
2018-09-06 07:00:00,606.10723583
2018-09-06 07:01:00,614.875671398
2018-09-06 07:02:00,606.10723583
2018-09-06 07:03:00,606.10723583
2018-09-06 07:04:00,606.10723583
2018-09-06 07:05:00,606.10723583
2018-09-06 07:06:00,588.570364692
2018-09-06 07:07:00,588.570364692
2018-09-06 07:08:00,588.570364692
2018-09-06 07:09:00,588.570364692
2018-09-06 07:10:00,588.570364692
2018-09-06 07:11:00,588.570364692
2018-09-06 07:12:00,588.570364692
2018-09-06 07:13:00,588.570364692
2018-09-06 07:14:00,588.570364692
2018-09-06 07:15:00,597.338800261
2018-09-06 07:16:00,588.570364692
