,TENS_C6
2018-08-22 12:14:00,5182.956936
2018-08-22 12:15:00,5181.510411
2018-08-22 12:16:00,5180.546061
2018-08-22 12:17:00,5180.546061
2018-08-22 12:18:00,5181.510411
2018-08-22 12:19:00,5182.474761
2018-08-22 12:20:00,5184.403461
2018-08-22 12:21:00,5183.439111
2018-08-22 12:22:00,5184.403461
2018-08-22 12:23:00,5185.367811
2018-08-22 12:24:00,5184.403461
2018-08-22 12:25:00,5184.403461
2018-08-22 12:26:00,5184.403461
2018-08-22 12:27:00,5184.403461
2018-08-22 12:28:00,5185.367811
2018-08-22 12:29:00,5185.367811
2018-08-22 12:30:00,5184.403461
2018-08-22 12:31:00,5184.403461
2018-08-22 12:32:00,5185.367811
2018-08-22 12:33:00,5185.367811
2018-08-22 12:34:00,5186.332161
2018-08-22 12:35:00,5186.332161
2018-08-22 12:36:00,5185.367811
2018-08-22 12:37:00,5185.367811
2018-08-22 12:38:00,5185.367811
2018-08-22 12:39:00,5185.367811
2018-08-22 12:40:00,5185.367811
2018-08-22 12:41:00,5186.332161
2018-08-22 12:42:00,5188.260861
2018-08-22 12:43:00,5188.260861
2018-08-22 12:44:00,5188.260861
2018-08-22 12:45:00,5188.260861
2018-08-22 12:46:00,5186.332161
2018-08-22 12:47:00,5187.296511
2018-08-22 12:48:00,5187.296511
2018-08-22 12:49:00,5188.260861
2018-08-22 12:50:00,5188.260861
2018-08-22 12:51:00,5188.260861
2018-08-22 12:52:00,5186.332161
2018-08-22 12:53:00,5187.296511
2018-08-22 12:54:00,5188.260861
2018-08-22 12:55:00,5188.260861
2018-08-22 12:56:00,5188.743036
2018-08-22 12:57:00,5187.778686
2018-08-22 12:58:00,5187.778686
2018-08-22 12:59:00,5185.849986
2018-08-22 13:00:00,5198.386536
2018-08-22 13:01:00,5198.868711
2018-08-22 13:02:00,5198.868711
2018-08-22 13:03:00,5202.243936
2018-08-22 13:04:00,5209.958736
2018-08-22 13:05:00,5208.512211
2018-08-22 13:06:00,5214.298311
2018-08-22 13:07:00,5212.369611
2018-08-22 13:08:00,5208.030036
2018-08-22 13:09:00,5210.440911
2018-08-22 13:10:00,5208.512211
2018-08-22 13:11:00,5206.583511
2018-08-22 13:12:00,5210.440911
2018-08-22 13:13:00,5208.512211
2018-08-22 13:14:00,5207.547861
2018-08-22 13:15:00,5204.654811
2018-08-22 13:16:00,5200.797411
2018-08-22 13:17:00,5201.279586
2018-08-22 13:18:00,5195.493486
2018-08-22 13:19:00,5196.940011
2018-08-22 13:20:00,5195.975661
2018-08-22 13:21:00,5198.868711
2018-08-22 13:22:00,5196.940011
2018-08-22 13:23:00,5194.046961
2018-08-22 13:24:00,5195.011311
2018-08-22 13:25:00,5192.118261
2018-08-22 13:26:00,5195.011311
2018-08-22 13:27:00,5193.082611
2018-08-22 13:28:00,5195.975661
2018-08-22 13:29:00,5197.422186
2018-08-22 13:30:00,5197.904361
2018-08-22 13:31:00,5195.011311
2018-08-22 13:32:00,5194.046961
2018-08-22 13:33:00,5192.118261
2018-08-22 13:34:00,5193.082611
2018-08-22 13:35:00,5196.457836
2018-08-22 13:36:00,5195.493486
2018-08-22 13:37:00,5195.011311
2018-08-22 13:38:00,5195.975661
2018-08-22 13:39:00,5195.011311
2018-08-22 13:40:00,5194.046961
2018-08-22 13:41:00,5194.046961
2018-08-22 13:42:00,5193.564786
2018-08-22 13:43:00,5194.046961
2018-08-22 13:44:00,5195.975661
2018-08-22 13:45:00,5196.940011
2018-08-22 13:46:00,5195.975661
2018-08-22 13:47:00,5194.046961
2018-08-22 13:48:00,5196.940011
2018-08-22 13:49:00,5196.940011
2018-08-22 13:50:00,5195.975661
2018-08-22 13:51:00,5195.011311
2018-08-22 13:52:00,5195.975661
2018-08-22 13:53:00,5197.904361
2018-08-22 13:54:00,5197.904361
2018-08-22 13:55:00,5195.975661
2018-08-22 13:56:00,5195.011311
2018-08-22 13:57:00,5195.011311
2018-08-22 13:58:00,5193.082611
2018-08-22 13:59:00,5194.529136
2018-08-22 14:00:00,5196.457836
2018-08-22 14:01:00,5195.975661
2018-08-22 14:02:00,5195.975661
