,GBX
2018-07-25 14:09:00,38539.4172746
2018-07-25 14:10:00,38537.0869846
2018-07-25 14:11:00,38537.0869846
2018-07-25 14:12:00,38537.0869846
2018-07-25 14:13:00,38539.4172746
2018-07-25 14:14:00,38539.4172746
2018-07-25 14:15:00,38539.4172746
2018-07-25 14:16:00,38539.4172746
2018-07-25 14:17:00,38539.4172746
2018-07-25 14:18:00,38539.4172746
2018-07-25 14:19:00,38539.4172746
2018-07-25 14:20:00,38539.4172746
2018-07-25 14:21:00,38532.4264046
2018-07-25 14:22:00,38539.4172746
2018-07-25 14:23:00,38539.4172746
2018-07-25 14:24:00,38539.4172746
2018-07-25 14:25:00,38539.4172746
2018-07-25 14:26:00,38539.4172746
2018-07-25 14:27:00,38544.0778546
2018-07-25 14:28:00,38544.0778546
2018-07-25 14:29:00,38544.0778546
2018-07-25 14:30:00,38546.4081446
2018-07-25 14:31:00,38541.7475646
2018-07-25 14:32:00,38532.4264046
2018-07-25 14:33:00,38530.0961146
2018-07-25 14:34:00,38534.7566946
2018-07-25 14:35:00,38532.4264046
2018-07-25 14:36:00,38504.4629246
2018-07-25 14:37:00,38509.1235046
2018-07-25 14:38:00,38495.1417646
2018-07-25 14:39:00,38485.8206046
2018-07-25 14:40:00,38462.5177046
2018-07-25 14:41:00,38443.8753846
2018-07-25 14:42:00,38450.8662546
2018-07-25 14:43:00,38432.2239346
2018-07-25 14:44:00,38427.5633546
2018-07-25 14:45:00,38429.8936446
2018-07-25 14:46:00,38415.9119046
2018-07-25 14:47:00,38394.9392946
2018-07-25 14:48:00,38383.2878446
2018-07-25 14:49:00,38364.6455246
2018-07-25 14:50:00,38373.9666846
2018-07-25 14:51:00,38376.2969746
2018-07-25 14:52:00,38378.6272646
2018-07-25 14:53:00,38369.3061046
2018-07-25 14:54:00,38359.9849446
2018-07-25 14:55:00,38366.9758146
2018-07-25 14:56:00,38366.9758146
2018-07-25 14:57:00,38364.6455246
2018-07-25 14:58:00,38376.2969746
2018-07-25 14:59:00,38434.5542246
2018-07-26 01:00:00,38453.1965446
2018-07-26 01:01:00,38364.6455246
2018-07-26 01:02:00,38359.9849446
2018-07-26 01:03:00,38378.6272646
2018-07-26 01:04:00,38378.6272646
2018-07-26 01:05:00,38385.6181346
2018-07-26 01:06:00,38387.9484246
2018-07-26 01:07:00,38394.9392946
2018-07-26 01:08:00,38387.9484246
2018-07-26 01:09:00,38390.2787146
2018-07-26 01:10:00,38397.2695846
2018-07-26 01:11:00,38397.2695846
2018-07-26 01:12:00,38397.2695846
2018-07-26 01:13:00,38399.5998746
2018-07-26 01:14:00,38399.5998746
2018-07-26 01:15:00,38399.5998746
2018-07-26 01:16:00,38399.5998746
2018-07-26 01:17:00,38399.5998746
2018-07-26 01:18:00,38399.5998746
2018-07-26 01:19:00,38401.9301646
2018-07-26 01:20:00,38397.2695846
2018-07-26 01:21:00,38394.9392946
2018-07-26 01:22:00,38383.2878446
2018-07-26 01:23:00,38373.9666846
2018-07-26 01:24:00,38373.9666846
2018-07-26 01:25:00,38369.3061046
2018-07-26 01:26:00,38378.6272646
2018-07-26 01:27:00,38378.6272646
2018-07-26 01:28:00,38378.6272646
2018-07-26 01:29:00,38378.6272646
2018-07-26 01:30:00,38378.6272646
2018-07-26 01:31:00,38378.6272646
2018-07-26 01:32:00,38392.6090046
2018-07-26 01:33:00,38408.9210346
2018-07-26 01:34:00,38411.2513246
2018-07-26 01:35:00,38415.9119046
2018-07-26 01:36:00,38418.2421946
2018-07-26 01:37:00,38415.9119046
2018-07-26 01:38:00,38422.9027746
2018-07-26 01:39:00,38422.9027746
2018-07-26 01:40:00,38434.5542246
2018-07-26 01:41:00,38432.2239346
2018-07-26 01:42:00,38425.2330646
2018-07-26 01:43:00,38415.9119046
2018-07-26 01:44:00,38422.9027746
2018-07-26 01:45:00,38429.8936446
2018-07-26 01:46:00,38418.2421946
2018-07-26 01:47:00,38392.6090046
2018-07-26 01:48:00,38399.5998746
2018-07-26 01:49:00,38408.9210346
2018-07-26 01:50:00,38413.5816146
2018-07-26 01:51:00,38415.9119046
2018-07-26 01:52:00,38420.5724846
2018-07-26 01:53:00,38418.2421946
2018-07-26 01:54:00,38420.5724846
2018-07-26 01:55:00,38427.5633546
2018-07-26 01:56:00,38439.2148046
2018-07-26 01:57:00,38434.5542246
2018-07-26 01:58:00,38436.8845146
2018-07-26 01:59:00,38434.5542246
2018-07-26 02:00:00,38436.8845146
2018-07-26 02:01:00,38432.2239346
2018-07-26 02:02:00,38420.5724846
2018-07-26 02:03:00,38404.2604546
2018-07-26 02:04:00,38420.5724846
2018-07-26 02:05:00,38408.9210346
2018-07-26 02:06:00,38418.2421946
2018-07-26 02:07:00,38425.2330646
2018-07-26 02:08:00,38429.8936446
2018-07-26 02:09:00,38427.5633546
2018-07-26 02:10:00,38436.8845146
2018-07-26 02:11:00,38453.1965446
2018-07-26 02:12:00,38448.5359646
2018-07-26 02:13:00,38453.1965446
2018-07-26 02:14:00,38460.1874146
2018-07-26 02:15:00,38453.1965446
2018-07-26 02:16:00,38439.2148046
2018-07-26 02:17:00,38434.5542246
2018-07-26 02:18:00,38441.5450946
2018-07-26 02:19:00,38439.2148046
2018-07-26 02:20:00,38439.2148046
2018-07-26 02:21:00,38439.2148046
2018-07-26 02:22:00,38425.2330646
2018-07-26 02:23:00,38420.5724846
2018-07-26 02:24:00,38429.8936446
2018-07-26 02:25:00,38429.8936446
2018-07-26 02:26:00,38429.8936446
2018-07-26 02:27:00,38429.8936446
2018-07-26 02:28:00,38434.5542246
2018-07-26 02:29:00,38453.1965446
2018-07-26 02:30:00,38464.8479946
2018-07-26 02:31:00,38457.8571246
2018-07-26 02:32:00,38467.1782846
2018-07-26 02:33:00,38457.8571246
2018-07-26 02:34:00,38460.1874146
2018-07-26 02:35:00,38460.1874146
2018-07-26 02:36:00,38443.8753846
2018-07-26 02:37:00,38448.5359646
2018-07-26 02:38:00,38439.2148046
2018-07-26 02:39:00,38439.2148046
2018-07-26 02:40:00,38457.8571246
2018-07-26 02:41:00,38457.8571246
2018-07-26 02:42:00,38448.5359646
2018-07-26 02:43:00,38453.1965446
2018-07-26 02:44:00,38453.1965446
2018-07-26 02:45:00,38457.8571246
2018-07-26 02:46:00,38462.5177046
2018-07-26 02:47:00,38457.8571246
2018-07-26 02:48:00,38453.1965446
2018-07-26 02:49:00,38448.5359646
2018-07-26 02:50:00,38441.5450946
2018-07-26 02:51:00,38443.8753846
2018-07-26 02:52:00,38448.5359646
2018-07-26 02:53:00,38448.5359646
2018-07-26 02:54:00,38448.5359646
2018-07-26 02:55:00,38443.8753846
2018-07-26 02:56:00,38439.2148046
2018-07-26 02:57:00,38434.5542246
2018-07-26 02:58:00,38429.8936446
2018-07-26 02:59:00,38429.8936446
2018-07-26 03:00:00,38436.8845146
2018-07-26 03:01:00,38443.8753846
2018-07-26 03:02:00,38448.5359646
2018-07-26 03:03:00,38448.5359646
2018-07-26 03:04:00,38448.5359646
2018-07-26 03:05:00,38457.8571246
2018-07-26 03:06:00,38448.5359646
2018-07-26 03:07:00,38439.2148046
2018-07-26 03:08:00,38420.5724846
2018-07-26 03:09:00,38425.2330646
