,ICECT4
2018-09-10 08:50:00,-138608.546895
2018-09-10 08:51:00,-138608.546895
2018-09-10 08:52:00,-138441.011895
2018-09-10 08:53:00,-138441.011895
2018-09-10 08:54:00,-138441.011895
2018-09-10 08:55:00,-138608.546895
2018-09-10 08:56:00,-138608.546895
2018-09-10 08:57:00,-138608.546895
2018-09-10 08:58:00,-138608.546895
2018-09-10 08:59:00,-138608.546895
2018-09-10 09:00:00,-138608.546895
2018-09-10 09:01:00,-138608.546895
2018-09-10 09:02:00,-138608.546895
2018-09-10 09:03:00,-138608.546895
2018-09-10 09:04:00,-138608.546895
2018-09-10 09:05:00,-138608.546895
2018-09-10 09:06:00,-138608.546895
2018-09-10 09:07:00,-138608.546895
2018-09-10 09:08:00,-138608.546895
2018-09-10 09:09:00,-138608.546895
2018-09-10 09:10:00,-138608.546895
2018-09-10 09:11:00,-138608.546895
2018-09-10 09:12:00,-138608.546895
2018-09-10 09:13:00,-138608.546895
2018-09-10 09:14:00,-138608.546895
2018-09-10 09:15:00,-138608.546895
2018-09-10 09:16:00,-138608.546895
2018-09-10 09:17:00,-138608.546895
2018-09-10 09:18:00,-138608.546895
2018-09-10 09:19:00,-138608.546895
