,ICECC2
2018-08-07 10:34:00,233922.345371
2018-08-07 10:35:00,233920.270371
2018-08-07 10:36:00,233914.045372
2018-08-07 10:37:00,233918.195371
2018-08-07 10:38:00,233918.195371
2018-08-07 10:39:00,233922.345371
2018-08-07 10:40:00,233926.495371
2018-08-07 10:41:00,233922.345371
2018-08-07 10:42:00,233926.495371
2018-08-07 10:43:00,233926.495371
2018-08-07 10:44:00,233926.495371
2018-08-07 10:45:00,233918.195371
2018-08-07 10:46:00,233893.295371
2018-08-07 10:47:00,233895.370371
2018-08-07 10:48:00,233893.295371
2018-08-07 10:49:00,233878.770371
2018-08-07 10:50:00,233882.920371
2018-08-07 10:51:00,233887.070371
2018-08-07 10:52:00,233895.370371
2018-08-07 10:53:00,233899.520371
2018-08-07 10:54:00,233887.070371
2018-08-07 10:55:00,233884.995372
2018-08-07 10:56:00,233889.145371
2018-08-07 10:57:00,233893.295371
2018-08-07 10:58:00,233882.920371
2018-08-07 10:59:00,233878.770371
2018-08-07 11:00:00,233880.845372
2018-08-07 11:01:00,233876.695371
2018-08-07 11:02:00,233866.320371
2018-08-07 11:03:00,233866.320371
2018-08-07 11:04:00,233868.395371
2018-08-07 11:05:00,233868.395371
2018-08-07 11:06:00,233876.695371
2018-08-07 11:07:00,233868.395371
2018-08-07 11:08:00,233870.470372
2018-08-07 11:09:00,233876.695371
2018-08-07 11:10:00,233868.395371
2018-08-07 11:11:00,233868.395371
2018-08-07 11:12:00,233868.395371
2018-08-07 11:13:00,233889.145371
2018-08-07 11:14:00,233889.145371
2018-08-07 11:15:00,233872.545371
2018-08-07 11:16:00,233872.545371
2018-08-07 11:17:00,233870.470372
2018-08-07 11:18:00,233874.620371
2018-08-07 11:19:00,233870.470372
2018-08-07 11:20:00,233882.920371
2018-08-07 11:21:00,233884.995372
2018-08-07 11:22:00,233880.845372
2018-08-07 11:23:00,233889.145371
2018-08-07 11:24:00,233889.145371
2018-08-07 11:25:00,233889.145371
2018-08-07 11:26:00,233884.995372
2018-08-07 11:27:00,233884.995372
2018-08-07 11:28:00,233887.070371
2018-08-07 11:29:00,233884.995372
2018-08-07 11:30:00,233878.770371
2018-08-07 11:31:00,233887.070371
2018-08-07 11:32:00,233887.070371
2018-08-07 11:33:00,233889.145371
2018-08-07 11:34:00,233889.145371
2018-08-07 11:35:00,233893.295371
2018-08-07 11:36:00,233891.220372
2018-08-07 11:37:00,233891.220372
2018-08-07 11:38:00,233889.145371
2018-08-07 11:39:00,233884.995372
2018-08-07 11:40:00,233884.995372
2018-08-07 11:41:00,233884.995372
2018-08-07 11:42:00,233880.845372
2018-08-07 11:43:00,233876.695371
2018-08-07 11:44:00,233876.695371
2018-08-07 11:45:00,233878.770371
2018-08-07 11:46:00,233878.770371
2018-08-07 11:47:00,233878.770371
2018-08-07 11:48:00,233878.770371
2018-08-07 11:49:00,233880.845372
2018-08-07 11:50:00,233878.770371
2018-08-07 11:51:00,233878.770371
2018-08-07 11:52:00,233880.845372
2018-08-07 11:53:00,233878.770371
2018-08-07 11:54:00,233878.770371
2018-08-07 11:55:00,233878.770371
2018-08-07 11:56:00,233878.770371
2018-08-07 11:57:00,233880.845372
2018-08-07 11:58:00,233878.770371
2018-08-07 11:59:00,233876.695371
2018-08-07 12:00:00,233880.845372
2018-08-07 12:01:00,233880.845372
2018-08-07 12:02:00,233880.845372
2018-08-07 12:03:00,233880.845372
2018-08-07 12:04:00,233880.845372
2018-08-07 12:05:00,233876.695371
2018-08-07 12:06:00,233876.695371
2018-08-07 12:07:00,233876.695371
2018-08-07 12:08:00,233876.695371
2018-08-07 12:09:00,233876.695371
2018-08-07 12:10:00,233878.770371
2018-08-07 12:11:00,233876.695371
2018-08-07 12:12:00,233876.695371
2018-08-07 12:13:00,233878.770371
2018-08-07 12:14:00,233878.770371
2018-08-07 12:15:00,233876.695371
2018-08-07 12:16:00,233876.695371
2018-08-07 12:17:00,233876.695371
2018-08-07 12:18:00,233876.695371
