,OMX
2018-08-06 06:47:00,13153.7247093
2018-08-06 06:48:00,13153.7247093
2018-08-06 06:49:00,13143.1459393
2018-08-06 06:50:00,13153.7247093
2018-08-06 06:51:00,13159.0140943
2018-08-06 06:52:00,13153.7247093
2018-08-06 06:53:00,13153.7247093
2018-08-06 06:54:00,13143.1459393
2018-08-06 06:55:00,13151.0800168
2018-08-06 06:56:00,13148.4353243
2018-08-06 06:57:00,13129.9224768
2018-08-06 06:58:00,13127.2777843
2018-08-06 06:59:00,13121.9883993
2018-08-06 07:00:00,13111.4096293
2018-08-06 07:01:00,13100.8308593
2018-08-06 07:02:00,13106.1202443
2018-08-06 07:03:00,13100.8308593
2018-08-06 07:04:00,13095.5414743
2018-08-06 07:05:00,13092.8967818
2018-08-06 07:06:00,13106.1202443
2018-08-06 07:07:00,13111.4096293
2018-08-06 07:08:00,13106.1202443
2018-08-06 07:09:00,13106.1202443
2018-08-06 07:10:00,13106.1202443
2018-08-06 07:11:00,13100.8308593
2018-08-06 07:12:00,13100.8308593
2018-08-06 07:13:00,13095.5414743
2018-08-06 07:14:00,13090.2520893
2018-08-06 07:15:00,13100.8308593
2018-08-06 07:16:00,13090.2520893
2018-08-06 07:17:00,13079.6733193
2018-08-06 07:18:00,13074.3839343
2018-08-06 07:19:00,13079.6733193
2018-08-06 07:20:00,13063.8051643
2018-08-06 07:21:00,13069.0945493
2018-08-06 07:22:00,13058.5157793
2018-08-06 07:23:00,13069.0945493
2018-08-06 07:24:00,13069.0945493
2018-08-06 07:25:00,13069.0945493
2018-08-06 07:26:00,13047.9370093
2018-08-06 07:27:00,13053.2263943
2018-08-06 07:28:00,13053.2263943
2018-08-06 07:29:00,13047.9370093
2018-08-06 07:30:00,13037.3582393
2018-08-06 07:31:00,13053.2263943
2018-08-06 07:32:00,13047.9370093
2018-08-06 07:33:00,13047.9370093
2018-08-06 07:34:00,13047.9370093
2018-08-06 07:35:00,13040.0029318
2018-08-06 07:36:00,13047.9370093
2018-08-06 07:37:00,13053.2263943
2018-08-06 07:38:00,13050.5817018
2018-08-06 07:39:00,13042.6476243
2018-08-06 07:40:00,13047.9370093
2018-08-06 07:41:00,13042.6476243
2018-08-06 07:42:00,13042.6476243
2018-08-06 07:43:00,13037.3582393
2018-08-06 07:44:00,13032.0688543
2018-08-06 07:45:00,13026.7794693
2018-08-06 07:46:00,13026.7794693
2018-08-06 07:47:00,13029.4241618
2018-08-06 07:48:00,13032.0688543
2018-08-06 07:49:00,13032.0688543
2018-08-06 07:50:00,13042.6476243
2018-08-06 07:51:00,13042.6476243
2018-08-06 07:52:00,13042.6476243
2018-08-06 07:53:00,13042.6476243
2018-08-06 07:54:00,13042.6476243
2018-08-06 07:55:00,13053.2263943
2018-08-06 07:56:00,13058.5157793
2018-08-06 07:57:00,13063.8051643
2018-08-06 07:58:00,13063.8051643
2018-08-06 07:59:00,13058.5157793
2018-08-06 08:00:00,13058.5157793
2018-08-06 08:01:00,13053.2263943
2018-08-06 08:02:00,13050.5817018
2018-08-06 08:03:00,13042.6476243
2018-08-06 08:04:00,13042.6476243
2018-08-06 08:05:00,13042.6476243
2018-08-06 08:06:00,13042.6476243
2018-08-06 08:07:00,13042.6476243
2018-08-06 08:08:00,13037.3582393
2018-08-06 08:09:00,13032.0688543
2018-08-06 08:10:00,13032.0688543
2018-08-06 08:11:00,13026.7794693
2018-08-06 08:12:00,13024.1347768
2018-08-06 08:13:00,13026.7794693
2018-08-06 08:14:00,13032.0688543
2018-08-06 08:15:00,13032.0688543
2018-08-06 08:16:00,13037.3582393
2018-08-06 08:17:00,13037.3582393
2018-08-06 08:18:00,13040.0029318
2018-08-06 08:19:00,13037.3582393
2018-08-06 08:20:00,13037.3582393
2018-08-06 08:21:00,13037.3582393
2018-08-06 08:22:00,13032.0688543
2018-08-06 08:23:00,13026.7794693
2018-08-06 08:24:00,13032.0688543
2018-08-06 08:25:00,13032.0688543
2018-08-06 08:26:00,13034.7135468
2018-08-06 08:27:00,13026.7794693
2018-08-06 08:28:00,13029.4241618
2018-08-06 08:29:00,13032.0688543
2018-08-06 08:30:00,13021.4900843
2018-08-06 08:31:00,13016.2006993
2018-08-06 08:32:00,13010.9113143
2018-08-06 08:33:00,13005.6219293
2018-08-06 08:34:00,13000.3325443
2018-08-06 08:35:00,12995.0431593
2018-08-06 08:36:00,12989.7537743
2018-08-06 08:37:00,12989.7537743
2018-08-06 08:38:00,12995.0431593
2018-08-06 08:39:00,13005.6219293
2018-08-06 08:40:00,13000.3325443
2018-08-06 08:41:00,12995.0431593
2018-08-06 08:42:00,13000.3325443
2018-08-06 08:43:00,13000.3325443
2018-08-06 08:44:00,13010.9113143
2018-08-06 08:45:00,13010.9113143
2018-08-06 08:46:00,13032.0688543
2018-08-06 08:47:00,13032.0688543
2018-08-06 08:48:00,13037.3582393
2018-08-06 08:49:00,13047.9370093
2018-08-06 08:50:00,13053.2263943
2018-08-06 08:51:00,13058.5157793
2018-08-06 08:52:00,13053.2263943
2018-08-06 08:53:00,13047.9370093
2018-08-06 08:54:00,13058.5157793
2018-08-06 08:55:00,13066.4498568
2018-08-06 08:56:00,13063.8051643
2018-08-06 08:57:00,13058.5157793
2018-08-06 08:58:00,13058.5157793
2018-08-06 08:59:00,13053.2263943
2018-08-06 09:00:00,13058.5157793
2018-08-06 09:01:00,13058.5157793
2018-08-06 09:02:00,13058.5157793
2018-08-06 09:03:00,13053.2263943
2018-08-06 09:04:00,13063.8051643
2018-08-06 09:05:00,13053.2263943
2018-08-06 09:06:00,13063.8051643
2018-08-06 09:07:00,13074.3839343
2018-08-06 09:08:00,13069.0945493
2018-08-06 09:09:00,13074.3839343
2018-08-06 09:10:00,13071.7392418
2018-08-06 09:11:00,13069.0945493
2018-08-06 09:12:00,13063.8051643
2018-08-06 09:13:00,13074.3839343
2018-08-06 09:14:00,13074.3839343
2018-08-06 09:15:00,13061.1604718
2018-08-06 09:16:00,13069.0945493
2018-08-06 09:17:00,13069.0945493
2018-08-06 09:18:00,13063.8051643
2018-08-06 09:19:00,13063.8051643
2018-08-06 09:20:00,13042.6476243
2018-08-06 09:21:00,13037.3582393
2018-08-06 09:22:00,13037.3582393
2018-08-06 09:23:00,13032.0688543
2018-08-06 09:24:00,13026.7794693
2018-08-06 09:25:00,13016.2006993
2018-08-06 09:26:00,13016.2006993
2018-08-06 09:27:00,13026.7794693
2018-08-06 09:28:00,13021.4900843
2018-08-06 09:29:00,13032.0688543
2018-08-06 09:30:00,13040.0029318
2018-08-06 09:31:00,13042.6476243
2018-08-06 09:32:00,13037.3582393
2018-08-06 09:33:00,13037.3582393
2018-08-06 09:34:00,13042.6476243
2018-08-06 09:35:00,13053.2263943
2018-08-06 09:36:00,13055.8710868
2018-08-06 09:37:00,13063.8051643
2018-08-06 09:38:00,13069.0945493
2018-08-06 09:39:00,13063.8051643
2018-08-06 09:40:00,13069.0945493
2018-08-06 09:41:00,13074.3839343
2018-08-06 09:42:00,13074.3839343
2018-08-06 09:43:00,13063.8051643
2018-08-06 09:44:00,13063.8051643
2018-08-06 09:45:00,13063.8051643
2018-08-06 09:46:00,13079.6733193
2018-08-06 09:47:00,13079.6733193
2018-08-06 09:48:00,13084.9627043
2018-08-06 09:49:00,13084.9627043
2018-08-06 09:50:00,13084.9627043
2018-08-06 09:51:00,13084.9627043
2018-08-06 09:52:00,13090.2520893
2018-08-06 09:53:00,13084.9627043
2018-08-06 09:54:00,13100.8308593
2018-08-06 09:55:00,13090.2520893
2018-08-06 09:56:00,13084.9627043
2018-08-06 09:57:00,13079.6733193
2018-08-06 09:58:00,13079.6733193
2018-08-06 09:59:00,13079.6733193
2018-08-06 10:00:00,13079.6733193
2018-08-06 10:01:00,13090.2520893
2018-08-06 10:02:00,13079.6733193
2018-08-06 10:03:00,13084.9627043
2018-08-06 10:04:00,13069.0945493
