,MME
2018-08-16 08:26:00,8636.05611955
2018-08-16 08:27:00,8636.05611955
2018-08-16 08:28:00,8628.40861955
2018-08-16 08:29:00,8631.68611955
2018-08-16 08:30:00,8627.31611955
2018-08-16 08:31:00,8636.05611955
2018-08-16 08:32:00,8627.31611955
2018-08-16 08:33:00,8620.76111955
2018-08-16 08:34:00,8631.68611955
2018-08-16 08:35:00,8625.13111955
2018-08-16 08:36:00,8626.22361955
2018-08-16 08:37:00,8618.57611955
2018-08-16 08:38:00,8608.74361955
2018-08-16 08:39:00,8612.02111955
2018-08-16 08:40:00,8609.83611955
2018-08-16 08:41:00,8622.94611955
2018-08-16 08:42:00,8627.31611955
2018-08-16 08:43:00,8622.94611955
2018-08-16 08:44:00,8621.85361955
2018-08-16 08:45:00,8629.50111955
2018-08-16 08:46:00,8631.68611955
2018-08-16 08:47:00,8627.31611955
2018-08-16 08:48:00,8638.24111955
2018-08-16 08:49:00,8636.05611955
2018-08-16 08:50:00,8649.16611955
2018-08-16 08:51:00,8652.44361955
2018-08-16 08:52:00,8660.09111955
2018-08-16 08:53:00,8662.27611955
2018-08-16 08:54:00,8666.64611955
2018-08-16 08:55:00,8664.46111955
2018-08-16 08:56:00,8662.27611955
2018-08-16 08:57:00,8646.98111955
2018-08-16 08:58:00,8643.70361955
2018-08-16 08:59:00,8640.42611955
2018-08-16 09:00:00,8651.35111955
2018-08-16 09:01:00,8649.16611955
2018-08-16 09:02:00,8653.53611955
2018-08-16 09:03:00,8649.16611955
2018-08-16 09:04:00,8636.05611955
2018-08-16 09:05:00,8651.35111955
2018-08-16 09:06:00,8653.53611955
2018-08-16 09:07:00,8650.25861955
2018-08-16 09:08:00,8653.53611955
2018-08-16 09:09:00,8655.72111955
2018-08-16 09:10:00,8662.27611955
2018-08-16 09:11:00,8666.64611955
2018-08-16 09:12:00,8671.01611955
2018-08-16 09:13:00,8671.01611955
2018-08-16 09:14:00,8673.20111955
2018-08-16 09:15:00,8671.01611955
2018-08-16 09:16:00,8666.64611955
2018-08-16 09:17:00,8662.27611955
2018-08-16 09:18:00,8656.81361955
2018-08-16 09:19:00,8663.36861955
2018-08-16 09:20:00,8666.64611955
2018-08-16 09:21:00,8666.64611955
2018-08-16 09:22:00,8664.46111955
2018-08-16 09:23:00,8662.27611955
2018-08-16 09:24:00,8667.73861955
2018-08-16 09:25:00,8666.64611955
2018-08-16 09:26:00,8657.90611955
2018-08-16 09:27:00,8651.35111955
2018-08-16 09:28:00,8660.09111955
2018-08-16 09:29:00,8669.92361955
2018-08-16 09:30:00,8657.90611955
2018-08-16 09:31:00,8666.64611955
2018-08-16 09:32:00,8662.27611955
2018-08-16 09:33:00,8655.72111955
2018-08-16 09:34:00,8660.09111955
2018-08-16 09:35:00,8662.27611955
2018-08-16 09:36:00,8679.75611955
2018-08-16 09:37:00,8677.57111955
2018-08-16 09:38:00,8684.12611955
2018-08-16 09:39:00,8663.36861955
2018-08-16 09:40:00,8666.64611955
2018-08-16 09:41:00,8665.55361955
2018-08-16 09:42:00,8665.55361955
2018-08-16 09:43:00,8662.27611955
2018-08-16 09:44:00,8662.27611955
2018-08-16 09:45:00,8671.01611955
2018-08-16 09:46:00,8664.46111955
2018-08-16 09:47:00,8668.83111955
2018-08-16 09:48:00,8677.57111955
2018-08-16 09:49:00,8679.75611955
2018-08-16 09:50:00,8681.94111955
2018-08-16 09:51:00,8671.01611955
2018-08-16 09:52:00,8664.46111955
2018-08-16 09:53:00,8663.36861955
2018-08-16 09:54:00,8664.46111955
2018-08-16 09:55:00,8661.18361955
2018-08-16 09:56:00,8649.16611955
2018-08-16 09:57:00,8649.16611955
2018-08-16 09:58:00,8645.88861955
2018-08-16 09:59:00,8641.51861955
2018-08-16 10:00:00,8657.90611955
2018-08-16 10:01:00,8668.83111955
2018-08-16 10:02:00,8671.01611955
2018-08-16 10:03:00,8664.46111955
2018-08-16 10:04:00,8662.27611955
2018-08-16 10:05:00,8668.83111955
2018-08-16 10:06:00,8666.64611955
2018-08-16 10:07:00,8664.46111955
2018-08-16 10:08:00,8675.38611955
2018-08-16 10:09:00,8675.38611955
2018-08-16 10:10:00,8681.94111955
2018-08-16 10:11:00,8688.49611955
2018-08-16 10:12:00,8688.49611955
2018-08-16 10:13:00,8695.05111955
2018-08-16 10:14:00,8691.77361955
2018-08-16 10:15:00,8701.60611955
2018-08-16 10:16:00,8703.79111955
2018-08-16 10:17:00,8701.60611955
2018-08-16 10:18:00,8699.42111955
2018-08-16 10:19:00,8701.60611955
2018-08-16 10:20:00,8701.60611955
2018-08-16 10:21:00,8700.51361955
2018-08-16 10:22:00,8699.42111955
2018-08-16 10:23:00,8699.42111955
2018-08-16 10:24:00,8700.51361955
2018-08-16 10:25:00,8708.16111955
2018-08-16 10:26:00,8710.34611955
2018-08-16 10:27:00,8714.71611955
2018-08-16 10:28:00,8712.53111955
2018-08-16 10:29:00,8719.08611955
2018-08-16 10:30:00,8714.71611955
2018-08-16 10:31:00,8701.60611955
2018-08-16 10:32:00,8690.68111955
2018-08-16 10:33:00,8691.77361955
2018-08-16 10:34:00,8692.86611955
2018-08-16 10:35:00,8697.23611955
2018-08-16 10:36:00,8692.86611955
2018-08-16 10:37:00,8681.94111955
2018-08-16 10:38:00,8677.57111955
2018-08-16 10:39:00,8662.27611955
2018-08-16 10:40:00,8660.09111955
2018-08-16 10:41:00,8636.05611955
2018-08-16 10:42:00,8643.70361955
2018-08-16 10:43:00,8622.94611955
2018-08-16 10:44:00,8636.05611955
2018-08-16 10:45:00,8653.53611955
2018-08-16 10:46:00,8655.72111955
2018-08-16 10:47:00,8660.09111955
2018-08-16 10:48:00,8671.01611955
2018-08-16 10:49:00,8677.57111955
2018-08-16 10:50:00,8673.20111955
2018-08-16 10:51:00,8671.01611955
2018-08-16 10:52:00,8675.38611955
2018-08-16 10:53:00,8671.01611955
2018-08-16 10:54:00,8675.38611955
2018-08-16 10:55:00,8681.94111955
2018-08-16 10:56:00,8686.31111955
2018-08-16 10:57:00,8684.12611955
2018-08-16 10:58:00,8688.49611955
2018-08-16 10:59:00,8693.95861955
2018-08-16 11:00:00,8699.42111955
2018-08-16 11:01:00,8699.42111955
2018-08-16 11:02:00,8707.06861955
2018-08-16 11:03:00,8703.79111955
2018-08-16 11:04:00,8699.42111955
2018-08-16 11:05:00,8695.05111955
2018-08-16 11:06:00,8703.79111955
2018-08-16 11:07:00,8708.16111955
2018-08-16 11:08:00,8713.62361955
2018-08-16 11:09:00,8712.53111955
2018-08-16 11:10:00,8714.71611955
2018-08-16 11:11:00,8716.90111955
2018-08-16 11:12:00,8723.45611955
2018-08-16 11:13:00,8732.19611955
2018-08-16 11:14:00,8723.45611955
2018-08-16 11:15:00,8721.27111955
2018-08-16 11:16:00,8723.45611955
2018-08-16 11:17:00,8714.71611955
2018-08-16 11:18:00,8714.71611955
2018-08-16 11:19:00,8721.27111955
2018-08-16 11:20:00,8712.53111955
2018-08-16 11:21:00,8716.90111955
2018-08-16 11:22:00,8712.53111955
2018-08-16 11:23:00,8710.34611955
2018-08-16 11:24:00,8703.79111955
2018-08-16 11:25:00,8707.06861955
