,MX
2018-07-30 01:34:00,25963.1927481
2018-07-30 01:35:00,25967.4351291
2018-07-30 01:36:00,25970.2633831
2018-07-30 01:37:00,25964.6068751
2018-07-30 01:38:00,25973.0916371
2018-07-30 01:39:00,25975.9198911
2018-07-30 01:40:00,25980.1622721
2018-07-30 01:41:00,25980.1622721
2018-07-30 01:42:00,25982.9905261
2018-07-30 01:43:00,25984.4046531
2018-07-30 01:44:00,25984.4046531
2018-07-30 01:45:00,25978.7481451
2018-07-30 01:46:00,25978.7481451
2018-07-30 01:47:00,25982.9905261
2018-07-30 01:48:00,25988.6470341
2018-07-30 01:49:00,25988.6470341
2018-07-30 01:50:00,25988.6470341
2018-07-30 01:51:00,25981.5763991
2018-07-30 01:52:00,25982.9905261
2018-07-30 01:53:00,25990.0611611
2018-07-30 01:54:00,25991.4752881
2018-07-30 01:55:00,25992.8894151
2018-07-30 01:56:00,25992.8894151
2018-07-30 01:57:00,25992.8894151
2018-07-30 01:58:00,26001.3741771
2018-07-30 01:59:00,25998.5459231
2018-07-30 02:00:00,25987.2329071
2018-07-30 02:01:00,25992.8894151
2018-07-30 02:02:00,25998.5459231
2018-07-30 02:03:00,25990.0611611
2018-07-30 02:04:00,25997.1317961
2018-07-30 02:05:00,25985.8187801
2018-07-30 02:06:00,25973.0916371
2018-07-30 02:07:00,25985.8187801
2018-07-30 02:08:00,25982.9905261
2018-07-30 02:09:00,25984.4046531
2018-07-30 02:10:00,25981.5763991
2018-07-30 02:11:00,25977.3340181
2018-07-30 02:12:00,25974.5057641
2018-07-30 02:13:00,25975.9198911
2018-07-30 02:14:00,25980.1622721
2018-07-30 02:15:00,25990.0611611
2018-07-30 02:16:00,25987.2329071
2018-07-30 02:17:00,25992.8894151
2018-07-30 02:18:00,26009.8589391
2018-07-30 02:19:00,26007.0306851
2018-07-30 02:20:00,26001.3741771
2018-07-30 02:21:00,25992.8894151
2018-07-30 02:22:00,25987.2329071
2018-07-30 02:23:00,25987.2329071
2018-07-30 02:24:00,25984.4046531
