,ICESB3
2018-09-11 11:50:00,-284471.922459
2018-09-11 11:51:00,-284471.922459
2018-09-11 11:52:00,-284458.404059
2018-09-11 11:53:00,-284498.959259
2018-09-11 11:54:00,-284478.681659
2018-09-11 11:55:00,-284512.477659
2018-09-11 11:56:00,-284512.477659
2018-09-11 11:57:00,-284512.477659
2018-09-11 11:58:00,-284498.959259
2018-09-11 11:59:00,-284485.440859
2018-09-12 02:29:00,-284485.440859
2018-09-12 02:30:00,-284512.477659
2018-09-12 02:31:00,-284498.959259
2018-09-12 02:32:00,-284498.959259
2018-09-12 02:33:00,-284512.477659
2018-09-12 02:34:00,-284512.477659
2018-09-12 02:35:00,-284519.236859
2018-09-12 02:36:00,-284512.477659
2018-09-12 02:37:00,-284512.477659
2018-09-12 02:38:00,-284512.477659
2018-09-12 02:39:00,-284512.477659
2018-09-12 02:40:00,-284512.477659
2018-09-12 02:41:00,-284512.477659
2018-09-12 02:42:00,-284512.477659
2018-09-12 02:43:00,-284512.477659
2018-09-12 02:44:00,-284498.959259
2018-09-12 02:45:00,-284512.477659
2018-09-12 02:46:00,-284512.477659
2018-09-12 02:47:00,-284532.755259
2018-09-12 02:48:00,-284546.273659
2018-09-12 02:49:00,-284559.792059
2018-09-12 02:50:00,-284559.792059
2018-09-12 02:51:00,-284559.792059
2018-09-12 02:52:00,-284566.551259
2018-09-12 02:53:00,-284566.551259
2018-09-12 02:54:00,-284559.792059
2018-09-12 02:55:00,-284559.792059
2018-09-12 02:56:00,-284559.792059
2018-09-12 02:57:00,-284573.310459
2018-09-12 02:58:00,-284580.069659
2018-09-12 02:59:00,-284580.069659
2018-09-12 03:00:00,-284580.069659
2018-09-12 03:01:00,-284573.310459
2018-09-12 03:02:00,-284580.069659
2018-09-12 03:03:00,-284580.069659
2018-09-12 03:04:00,-284573.310459
2018-09-12 03:05:00,-284566.551259
2018-09-12 03:06:00,-284566.551259
2018-09-12 03:07:00,-284566.551259
2018-09-12 03:08:00,-284566.551259
2018-09-12 03:09:00,-284566.551259
2018-09-12 03:10:00,-284566.551259
2018-09-12 03:11:00,-284566.551259
2018-09-12 03:12:00,-284566.551259
2018-09-12 03:13:00,-284566.551259
2018-09-12 03:14:00,-284566.551259
2018-09-12 03:15:00,-284566.551259
2018-09-12 03:16:00,-284566.551259
2018-09-12 03:17:00,-284546.273659
2018-09-12 03:18:00,-284539.514459
2018-09-12 03:19:00,-284539.514459
2018-09-12 03:20:00,-284539.514459
