,ICESB
2018-08-21 05:07:00,-3589.5688192
2018-08-21 05:08:00,-3595.9416192
2018-08-21 05:09:00,-3595.9416192
2018-08-21 05:10:00,-3595.9416192
2018-08-21 05:11:00,-3595.9416192
2018-08-21 05:12:00,-3595.9416192
2018-08-21 05:13:00,-3595.9416192
2018-08-21 05:14:00,-3595.9416192
2018-08-21 05:15:00,-3595.9416192
2018-08-21 05:16:00,-3595.9416192
2018-08-21 05:17:00,-3595.9416192
2018-08-21 05:18:00,-3595.9416192
2018-08-21 05:19:00,-3595.9416192
2018-08-21 05:20:00,-3595.9416192
2018-08-21 05:21:00,-3595.9416192
2018-08-21 05:22:00,-3608.6872192
2018-08-21 05:23:00,-3608.6872192
2018-08-21 05:24:00,-3608.6872192
2018-08-21 05:25:00,-3595.9416192
2018-08-21 05:26:00,-3595.9416192
2018-08-21 05:27:00,-3595.9416192
2018-08-21 05:28:00,-3595.9416192
2018-08-21 05:29:00,-3595.9416192
2018-08-21 05:30:00,-3608.6872192
2018-08-21 05:31:00,-3602.3144192
2018-08-21 05:32:00,-3608.6872192
2018-08-21 05:33:00,-3595.9416192
2018-08-21 05:34:00,-3583.1960192
2018-08-21 05:35:00,-3583.1960192
2018-08-21 05:36:00,-3576.8232192
2018-08-21 05:37:00,-3583.1960192
2018-08-21 05:38:00,-3564.0776192
2018-08-21 05:39:00,-3570.4504192
2018-08-21 05:40:00,-3576.8232192
2018-08-21 05:41:00,-3576.8232192
2018-08-21 05:42:00,-3564.0776192
2018-08-21 05:43:00,-3570.4504192
2018-08-21 05:44:00,-3570.4504192
2018-08-21 05:45:00,-3570.4504192
2018-08-21 05:46:00,-3557.7048192
2018-08-21 05:47:00,-3557.7048192
2018-08-21 05:48:00,-3551.3320192
2018-08-21 05:49:00,-3557.7048192
2018-08-21 05:50:00,-3570.4504192
2018-08-21 05:51:00,-3570.4504192
2018-08-21 05:52:00,-3557.7048192
2018-08-21 05:53:00,-3544.9592192
2018-08-21 05:54:00,-3544.9592192
2018-08-21 05:55:00,-3544.9592192
2018-08-21 05:56:00,-3532.2136192
2018-08-21 05:57:00,-3532.2136192
2018-08-21 05:58:00,-3532.2136192
2018-08-21 05:59:00,-3519.4680192
2018-08-21 06:00:00,-3519.4680192
2018-08-21 06:01:00,-3513.0952192
2018-08-21 06:02:00,-3519.4680192
2018-08-21 06:03:00,-3506.7224192
2018-08-21 06:04:00,-3506.7224192
2018-08-21 06:05:00,-3493.9768192
2018-08-21 06:06:00,-3481.2312192
2018-08-21 06:07:00,-3481.2312192
2018-08-21 06:08:00,-3481.2312192
2018-08-21 06:09:00,-3468.4856192
2018-08-21 06:10:00,-3474.8584192
2018-08-21 06:11:00,-3481.2312192
2018-08-21 06:12:00,-3468.4856192
2018-08-21 06:13:00,-3468.4856192
2018-08-21 06:14:00,-3455.7400192
2018-08-21 06:15:00,-3455.7400192
2018-08-21 06:16:00,-3481.2312192
2018-08-21 06:17:00,-3481.2312192
2018-08-21 06:18:00,-3481.2312192
2018-08-21 06:19:00,-3487.6040192
2018-08-21 06:20:00,-3487.6040192
2018-08-21 06:21:00,-3493.9768192
2018-08-21 06:22:00,-3481.2312192
2018-08-21 06:23:00,-3481.2312192
2018-08-21 06:24:00,-3481.2312192
2018-08-21 06:25:00,-3481.2312192
2018-08-21 06:26:00,-3493.9768192
2018-08-21 06:27:00,-3493.9768192
2018-08-21 06:28:00,-3493.9768192
2018-08-21 06:29:00,-3493.9768192
2018-08-21 06:30:00,-3519.4680192
2018-08-21 06:31:00,-3519.4680192
2018-08-21 06:32:00,-3519.4680192
