,OAT
2018-02-27 09:15:00,33728.1554778
2018-02-27 09:16:00,33719.8504498
2018-02-27 09:17:00,33719.8504498
2018-02-27 09:18:00,33719.8504498
2018-02-27 09:19:00,33711.5454218
2018-02-27 09:20:00,33711.5454218
2018-02-27 09:21:00,33703.2403938
2018-02-27 09:22:00,33703.2403938
2018-02-27 09:23:00,33694.9353658
2018-02-27 09:24:00,33686.6303378
2018-02-27 09:25:00,33694.9353658
2018-02-27 09:26:00,33703.2403938
2018-02-27 09:27:00,33711.5454218
2018-02-27 09:28:00,33694.9353658
2018-02-27 09:29:00,33699.0878798
2018-02-27 09:30:00,33694.9353658
2018-02-27 09:31:00,33686.6303378
2018-02-27 09:32:00,33711.5454218
2018-02-27 09:33:00,33711.5454218
2018-02-27 09:34:00,33719.8504498
2018-02-27 09:35:00,33732.3079918
2018-02-27 09:36:00,33728.1554778
2018-02-27 09:37:00,33744.7655338
2018-02-27 09:38:00,33744.7655338
2018-02-27 09:39:00,33748.9180478
2018-02-27 09:40:00,33744.7655338
2018-02-27 09:41:00,33736.4605058
2018-02-27 09:42:00,33628.4951418
2018-02-27 09:43:00,33628.4951418
2018-02-27 09:44:00,33595.2750298
2018-02-27 09:45:00,33603.5800578
2018-02-27 09:46:00,33562.0549178
2018-02-27 09:47:00,33578.6649738
2018-02-27 09:48:00,33595.2750298
2018-02-27 09:49:00,33595.2750298
2018-02-27 09:50:00,33578.6649738
2018-02-27 09:51:00,33586.9700018
2018-02-27 09:52:00,33578.6649738
2018-02-27 09:53:00,33591.1225158
2018-02-27 09:54:00,33545.4448618
2018-02-27 09:55:00,33553.7498898
2018-02-27 09:56:00,33562.0549178
2018-02-27 09:57:00,33528.8348058
2018-02-27 09:58:00,33508.0722358
2018-02-27 09:59:00,33503.9197218
2018-02-27 10:00:00,33512.2247498
2018-02-27 10:01:00,33487.3096658
2018-02-27 10:02:00,33503.9197218
2018-02-27 10:03:00,33470.6996098
2018-02-27 10:04:00,33479.0046378
2018-02-27 10:05:00,33462.3945818
2018-02-27 10:06:00,33466.5470958
2018-02-27 10:07:00,33495.6146938
2018-02-27 10:08:00,33512.2247498
2018-02-27 10:09:00,33512.2247498
2018-02-27 10:10:00,33520.5297778
2018-02-27 10:11:00,33528.8348058
2018-02-27 10:12:00,33562.0549178
2018-02-27 10:13:00,33570.3599458
