,SMI
2018-08-08 02:39:00,12588.0929015
2018-08-08 02:40:00,12580.2902075
2018-08-08 02:41:00,12582.240881
2018-08-08 02:42:00,12580.2902075
2018-08-08 02:43:00,12580.2902075
2018-08-08 02:44:00,12588.0929015
2018-08-08 02:45:00,12591.9942485
2018-08-08 02:46:00,12588.0929015
2018-08-08 02:47:00,12588.0929015
2018-08-08 02:48:00,12591.9942485
2018-08-08 02:49:00,12607.5996365
2018-08-08 02:50:00,12599.7969425
2018-08-08 02:51:00,12607.5996365
2018-08-08 02:52:00,12615.4023305
2018-08-08 02:53:00,12611.5009835
2018-08-08 02:54:00,12623.2050245
2018-08-08 02:55:00,12623.2050245
2018-08-08 02:56:00,12615.4023305
2018-08-08 02:57:00,12611.5009835
2018-08-08 02:58:00,12615.4023305
2018-08-08 02:59:00,12611.5009835
2018-08-08 03:00:00,12611.5009835
2018-08-08 03:01:00,12599.7969425
2018-08-08 03:02:00,12591.9942485
2018-08-08 03:03:00,12603.6982895
2018-08-08 03:04:00,12603.6982895
2018-08-08 03:05:00,12595.8955955
2018-08-08 03:06:00,12599.7969425
2018-08-08 03:07:00,12599.7969425
2018-08-08 03:08:00,12584.1915545
2018-08-08 03:09:00,12599.7969425
2018-08-08 03:10:00,12603.6982895
2018-08-08 03:11:00,12595.8955955
2018-08-08 03:12:00,12599.7969425
2018-08-08 03:13:00,12607.5996365
2018-08-08 03:14:00,12615.4023305
2018-08-08 03:15:00,12619.3036775
2018-08-08 03:16:00,12632.958392
2018-08-08 03:17:00,12619.3036775
2018-08-08 03:18:00,12619.3036775
2018-08-08 03:19:00,12619.3036775
2018-08-08 03:20:00,12629.057045
2018-08-08 03:21:00,12631.0077185
2018-08-08 03:22:00,12619.3036775
2018-08-08 03:23:00,12615.4023305
2018-08-08 03:24:00,12619.3036775
2018-08-08 03:25:00,12631.0077185
2018-08-08 03:26:00,12627.1063715
2018-08-08 03:27:00,12627.1063715
2018-08-08 03:28:00,12627.1063715
2018-08-08 03:29:00,12627.1063715
2018-08-08 03:30:00,12638.8104125
2018-08-08 03:31:00,12658.3171475
2018-08-08 03:32:00,12650.5144535
2018-08-08 03:33:00,12654.4158005
2018-08-08 03:34:00,12656.366474
2018-08-08 03:35:00,12650.5144535
2018-08-08 03:36:00,12642.7117595
2018-08-08 03:37:00,12634.9090655
2018-08-08 03:38:00,12642.7117595
2018-08-08 03:39:00,12646.6131065
2018-08-08 03:40:00,12632.958392
2018-08-08 03:41:00,12629.057045
2018-08-08 03:42:00,12627.1063715
2018-08-08 03:43:00,12619.3036775
2018-08-08 03:44:00,12611.5009835
2018-08-08 03:45:00,12611.5009835
2018-08-08 03:46:00,12611.5009835
2018-08-08 03:47:00,12607.5996365
2018-08-08 03:48:00,12619.3036775
2018-08-08 03:49:00,12623.2050245
2018-08-08 03:50:00,12615.4023305
2018-08-08 03:51:00,12595.8955955
2018-08-08 03:52:00,12595.8955955
2018-08-08 03:53:00,12597.846269
