,XBT
2018-08-30 02:31:00,-515.07752962
2018-08-30 02:32:00,-517.17252962
2018-08-30 02:33:00,-515.07752962
2018-08-30 02:34:00,-515.07752962
2018-08-30 02:35:00,-515.07752962
2018-08-30 02:36:00,-515.07752962
2018-08-30 02:37:00,-515.07752962
2018-08-30 02:38:00,-515.07752962
2018-08-30 02:39:00,-515.07752962
2018-08-30 02:40:00,-515.07752962
2018-08-30 02:41:00,-512.98252962
2018-08-30 02:42:00,-515.07752962
2018-08-30 02:43:00,-515.07752962
2018-08-30 02:44:00,-517.17252962
2018-08-30 02:45:00,-519.26752962
2018-08-30 02:46:00,-519.26752962
2018-08-30 02:47:00,-521.36252962
2018-08-30 02:48:00,-523.45752962
2018-08-30 02:49:00,-523.45752962
2018-08-30 02:50:00,-527.64752962
2018-08-30 02:51:00,-527.64752962
2018-08-30 02:52:00,-536.02752962
2018-08-30 02:53:00,-531.83752962
2018-08-30 02:54:00,-527.64752962
2018-08-30 02:55:00,-527.64752962
2018-08-30 02:56:00,-525.55252962
2018-08-30 02:57:00,-531.83752962
2018-08-30 02:58:00,-531.83752962
2018-08-30 02:59:00,-525.55252962
2018-08-30 03:00:00,-527.64752962
2018-08-30 03:01:00,-536.02752962
2018-08-30 03:02:00,-536.02752962
2018-08-30 03:03:00,-536.02752962
2018-08-30 03:04:00,-531.83752962
2018-08-30 03:05:00,-536.02752962
2018-08-30 03:06:00,-536.02752962
2018-08-30 03:07:00,-536.02752962
2018-08-30 03:08:00,-531.83752962
2018-08-30 03:09:00,-523.45752962
2018-08-30 03:10:00,-527.64752962
2018-08-30 03:11:00,-523.45752962
2018-08-30 03:12:00,-519.26752962
2018-08-30 03:13:00,-523.45752962
2018-08-30 03:14:00,-521.36252962
2018-08-30 03:15:00,-519.26752962
2018-08-30 03:16:00,-519.26752962
2018-08-30 03:17:00,-519.26752962
2018-08-30 03:18:00,-519.26752962
2018-08-30 03:19:00,-525.55252962
2018-08-30 03:20:00,-527.64752962
2018-08-30 03:21:00,-527.64752962
2018-08-30 03:22:00,-527.64752962
2018-08-30 03:23:00,-529.74252962
2018-08-30 03:24:00,-531.83752962
2018-08-30 03:25:00,-533.93252962
2018-08-30 03:26:00,-525.55252962
2018-08-30 03:27:00,-525.55252962
2018-08-30 03:28:00,-531.83752962
2018-08-30 03:29:00,-536.02752962
2018-08-30 03:30:00,-536.02752962
2018-08-30 03:31:00,-531.83752962
2018-08-30 03:32:00,-531.83752962
2018-08-30 03:33:00,-527.64752962
2018-08-30 03:34:00,-527.64752962
2018-08-30 03:35:00,-531.83752962
2018-08-30 03:36:00,-531.83752962
2018-08-30 03:37:00,-529.74252962
2018-08-30 03:38:00,-531.83752962
2018-08-30 03:39:00,-527.64752962
2018-08-30 03:40:00,-531.83752962
2018-08-30 03:41:00,-531.83752962
2018-08-30 03:42:00,-536.02752962
2018-08-30 03:43:00,-540.21752962
2018-08-30 03:44:00,-533.93252962
2018-08-30 03:45:00,-531.83752962
2018-08-30 03:46:00,-531.83752962
2018-08-30 03:47:00,-536.02752962
2018-08-30 03:48:00,-540.21752962
2018-08-30 03:49:00,-544.40752962
2018-08-30 03:50:00,-544.40752962
2018-08-30 03:51:00,-540.21752962
2018-08-30 03:52:00,-548.59752962
2018-08-30 03:53:00,-548.59752962
2018-08-30 03:54:00,-548.59752962
2018-08-30 03:55:00,-552.78752962
2018-08-30 03:56:00,-548.59752962
2018-08-30 03:57:00,-561.16752962
2018-08-30 03:58:00,-561.16752962
2018-08-30 03:59:00,-556.97752962
2018-08-30 04:00:00,-561.16752962
2018-08-30 04:01:00,-556.97752962
2018-08-30 04:02:00,-548.59752962
2018-08-30 04:03:00,-544.40752962
2018-08-30 04:04:00,-544.40752962
2018-08-30 04:05:00,-552.78752962
2018-08-30 04:06:00,-548.59752962
2018-08-30 04:07:00,-554.88252962
2018-08-30 04:08:00,-556.97752962
2018-08-30 04:09:00,-556.97752962
2018-08-30 04:10:00,-561.16752962
2018-08-30 04:11:00,-569.54752962
2018-08-30 04:12:00,-569.54752962
2018-08-30 04:13:00,-565.35752962
2018-08-30 04:14:00,-565.35752962
2018-08-30 04:15:00,-571.64252962
2018-08-30 04:16:00,-561.16752962
2018-08-30 04:17:00,-561.16752962
2018-08-30 04:18:00,-556.97752962
2018-08-30 04:19:00,-556.97752962
2018-08-30 04:20:00,-556.97752962
2018-08-30 04:21:00,-556.97752962
2018-08-30 04:22:00,-565.35752962
2018-08-30 04:23:00,-565.35752962
2018-08-30 04:24:00,-565.35752962
2018-08-30 04:25:00,-565.35752962
2018-08-30 04:26:00,-563.26252962
2018-08-30 04:27:00,-559.07252962
2018-08-30 04:28:00,-561.16752962
2018-08-30 04:29:00,-556.97752962
2018-08-30 04:30:00,-561.16752962
2018-08-30 04:31:00,-556.97752962
2018-08-30 04:32:00,-561.16752962
2018-08-30 04:33:00,-561.16752962
2018-08-30 04:34:00,-561.16752962
2018-08-30 04:35:00,-561.16752962
2018-08-30 04:36:00,-569.54752962
2018-08-30 04:37:00,-577.92752962
2018-08-30 04:38:00,-582.11752962
2018-08-30 04:39:00,-586.30752962
2018-08-30 04:40:00,-584.21252962
2018-08-30 04:41:00,-575.83252962
2018-08-30 04:42:00,-577.92752962
2018-08-30 04:43:00,-588.40252962
2018-08-30 04:44:00,-580.02252962
2018-08-30 04:45:00,-577.92752962
2018-08-30 04:46:00,-575.83252962
2018-08-30 04:47:00,-577.92752962
2018-08-30 04:48:00,-569.54752962
2018-08-30 04:49:00,-569.54752962
2018-08-30 04:50:00,-573.73752962
2018-08-30 04:51:00,-573.73752962
2018-08-30 04:52:00,-573.73752962
2018-08-30 04:53:00,-577.92752962
2018-08-30 04:54:00,-580.02252962
2018-08-30 04:55:00,-580.02252962
2018-08-30 04:56:00,-582.11752962
2018-08-30 04:57:00,-582.11752962
2018-08-30 04:58:00,-575.83252962
2018-08-30 04:59:00,-573.73752962
2018-08-30 05:00:00,-577.92752962
2018-08-30 05:01:00,-577.92752962
2018-08-30 05:02:00,-571.64252962
2018-08-30 05:03:00,-569.54752962
2018-08-30 05:04:00,-565.35752962
2018-08-30 05:05:00,-563.26252962
2018-08-30 05:06:00,-567.45252962
2018-08-30 05:07:00,-569.54752962
2018-08-30 05:08:00,-573.73752962
2018-08-30 05:09:00,-569.54752962
2018-08-30 05:10:00,-569.54752962
2018-08-30 05:11:00,-569.54752962
2018-08-30 05:12:00,-577.92752962
2018-08-30 05:13:00,-571.64252962
2018-08-30 05:14:00,-577.92752962
2018-08-30 05:15:00,-580.02252962
2018-08-30 05:16:00,-582.11752962
2018-08-30 05:17:00,-584.21252962
2018-08-30 05:18:00,-590.49752962
2018-08-30 05:19:00,-586.30752962
2018-08-30 05:20:00,-590.49752962
2018-08-30 05:21:00,-590.49752962
2018-08-30 05:22:00,-582.11752962
2018-08-30 05:23:00,-586.30752962
2018-08-30 05:24:00,-590.49752962
2018-08-30 05:25:00,-584.21252962
2018-08-30 05:26:00,-584.21252962
2018-08-30 05:27:00,-586.30752962
2018-08-30 05:28:00,-590.49752962
2018-08-30 05:29:00,-590.49752962
2018-08-30 05:30:00,-588.40252962
2018-08-30 05:31:00,-586.30752962
2018-08-30 05:32:00,-586.30752962
2018-08-30 05:33:00,-590.49752962
2018-08-30 05:34:00,-590.49752962
2018-08-30 05:35:00,-590.49752962
2018-08-30 05:36:00,-584.21252962
2018-08-30 05:37:00,-582.11752962
2018-08-30 05:38:00,-586.30752962
2018-08-30 05:39:00,-586.30752962
2018-08-30 05:40:00,-586.30752962
2018-08-30 05:41:00,-586.30752962
2018-08-30 05:42:00,-586.30752962
2018-08-30 05:43:00,-586.30752962
2018-08-30 05:44:00,-586.30752962
2018-08-30 05:45:00,-577.92752962
2018-08-30 05:46:00,-575.83252962
2018-08-30 05:47:00,-582.11752962
2018-08-30 05:48:00,-573.73752962
2018-08-30 05:49:00,-573.73752962
2018-08-30 05:50:00,-569.54752962
2018-08-30 05:51:00,-575.83252962
2018-08-30 05:52:00,-577.92752962
2018-08-30 05:53:00,-577.92752962
2018-08-30 05:54:00,-573.73752962
2018-08-30 05:55:00,-573.73752962
2018-08-30 05:56:00,-567.45252962
2018-08-30 05:57:00,-569.54752962
2018-08-30 05:58:00,-565.35752962
2018-08-30 05:59:00,-565.35752962
2018-08-30 06:00:00,-575.83252962
2018-08-30 06:01:00,-573.73752962
2018-08-30 06:02:00,-569.54752962
2018-08-30 06:03:00,-571.64252962
2018-08-30 06:04:00,-573.73752962
2018-08-30 06:05:00,-577.92752962
2018-08-30 06:06:00,-569.54752962
2018-08-30 06:07:00,-571.64252962
2018-08-30 06:08:00,-569.54752962
2018-08-30 06:09:00,-569.54752962
2018-08-30 06:10:00,-569.54752962
2018-08-30 06:11:00,-571.64252962
2018-08-30 06:12:00,-569.54752962
2018-08-30 06:13:00,-571.64252962
2018-08-30 06:14:00,-571.64252962
2018-08-30 06:15:00,-571.64252962
2018-08-30 06:16:00,-577.92752962
2018-08-30 06:17:00,-577.92752962
2018-08-30 06:18:00,-577.92752962
2018-08-30 06:19:00,-580.02252962
2018-08-30 06:20:00,-582.11752962
2018-08-30 06:21:00,-582.11752962
2018-08-30 06:22:00,-580.02252962
2018-08-30 06:23:00,-580.02252962
2018-08-30 06:24:00,-580.02252962
2018-08-30 06:25:00,-577.92752962
2018-08-30 06:26:00,-577.92752962
2018-08-30 06:27:00,-575.83252962
2018-08-30 06:28:00,-573.73752962
2018-08-30 06:29:00,-575.83252962
2018-08-30 06:30:00,-575.83252962
2018-08-30 06:31:00,-577.92752962
2018-08-30 06:32:00,-582.11752962
2018-08-30 06:33:00,-582.11752962
2018-08-30 06:34:00,-586.30752962
2018-08-30 06:35:00,-590.49752962
2018-08-30 06:36:00,-586.30752962
2018-08-30 06:37:00,-590.49752962
2018-08-30 06:38:00,-594.68752962
2018-08-30 06:39:00,-603.06752962
2018-08-30 06:40:00,-605.16252962
2018-08-30 06:41:00,-609.35252962
2018-08-30 06:42:00,-624.01752962
2018-08-30 06:43:00,-609.35252962
2018-08-30 06:44:00,-607.25752962
2018-08-30 06:45:00,-613.54252962
2018-08-30 06:46:00,-609.35252962
2018-08-30 06:47:00,-619.82752962
2018-08-30 06:48:00,-619.82752962
2018-08-30 06:49:00,-624.01752962
2018-08-30 06:50:00,-621.92252962
2018-08-30 06:51:00,-611.44752962
2018-08-30 06:52:00,-611.44752962
2018-08-30 06:53:00,-615.63752962
2018-08-30 06:54:00,-613.54252962
2018-08-30 06:55:00,-611.44752962
2018-08-30 06:56:00,-611.44752962
2018-08-30 06:57:00,-607.25752962
2018-08-30 06:58:00,-611.44752962
2018-08-30 06:59:00,-613.54252962
2018-08-30 07:00:00,-611.44752962
2018-08-30 07:01:00,-611.44752962
2018-08-30 07:02:00,-607.25752962
2018-08-30 07:03:00,-603.06752962
2018-08-30 07:04:00,-603.06752962
2018-08-30 07:05:00,-600.97252962
2018-08-30 07:06:00,-603.06752962
2018-08-30 07:07:00,-594.68752962
2018-08-30 07:08:00,-596.78252962
2018-08-30 07:09:00,-594.68752962
2018-08-30 07:10:00,-594.68752962
2018-08-30 07:11:00,-596.78252962
2018-08-30 07:12:00,-594.68752962
2018-08-30 07:13:00,-590.49752962
2018-08-30 07:14:00,-590.49752962
2018-08-30 07:15:00,-598.87752962
2018-08-30 07:16:00,-603.06752962
2018-08-30 07:17:00,-598.87752962
2018-08-30 07:18:00,-598.87752962
2018-08-30 07:19:00,-605.16252962
2018-08-30 07:20:00,-607.25752962
2018-08-30 07:21:00,-611.44752962
2018-08-30 07:22:00,-609.35252962
2018-08-30 07:23:00,-605.16252962
2018-08-30 07:24:00,-605.16252962
2018-08-30 07:25:00,-607.25752962
2018-08-30 07:26:00,-611.44752962
2018-08-30 07:27:00,-611.44752962
2018-08-30 07:28:00,-613.54252962
2018-08-30 07:29:00,-609.35252962
2018-08-30 07:30:00,-613.54252962
2018-08-30 07:31:00,-611.44752962
2018-08-30 07:32:00,-607.25752962
2018-08-30 07:33:00,-615.63752962
2018-08-30 07:34:00,-615.63752962
2018-08-30 07:35:00,-613.54252962
2018-08-30 07:36:00,-619.82752962
2018-08-30 07:37:00,-626.11252962
2018-08-30 07:38:00,-628.20752962
2018-08-30 07:39:00,-628.20752962
2018-08-30 07:40:00,-628.20752962
2018-08-30 07:41:00,-644.96752962
2018-08-30 07:42:00,-640.77752962
2018-08-30 07:43:00,-651.25252962
2018-08-30 07:44:00,-651.25252962
2018-08-30 07:45:00,-655.44252962
2018-08-30 07:46:00,-632.39752962
2018-08-30 07:47:00,-632.39752962
2018-08-30 07:48:00,-632.39752962
2018-08-30 07:49:00,-628.20752962
2018-08-30 07:50:00,-632.39752962
2018-08-30 07:51:00,-630.30252962
2018-08-30 07:52:00,-632.39752962
2018-08-30 07:53:00,-628.20752962
2018-08-30 07:54:00,-636.58752962
2018-08-30 07:55:00,-636.58752962
2018-08-30 07:56:00,-640.77752962
2018-08-30 07:57:00,-636.58752962
2018-08-30 07:58:00,-647.06252962
2018-08-30 07:59:00,-653.34752962
2018-08-30 08:00:00,-657.53752962
2018-08-30 08:01:00,-657.53752962
2018-08-30 08:02:00,-657.53752962
2018-08-30 08:03:00,-649.15752962
2018-08-30 08:04:00,-657.53752962
2018-08-30 08:05:00,-649.15752962
2018-08-30 08:06:00,-649.15752962
2018-08-30 08:07:00,-653.34752962
2018-08-30 08:08:00,-647.06252962
2018-08-30 08:09:00,-644.96752962
2018-08-30 08:10:00,-649.15752962
2018-08-30 08:11:00,-642.87252962
2018-08-30 08:12:00,-640.77752962
2018-08-30 08:13:00,-638.68252962
2018-08-30 08:14:00,-638.68252962
2018-08-30 08:15:00,-636.58752962
2018-08-30 08:16:00,-636.58752962
2018-08-30 08:17:00,-634.49252962
2018-08-30 08:18:00,-640.77752962
2018-08-30 08:19:00,-640.77752962
2018-08-30 08:20:00,-638.68252962
2018-08-30 08:21:00,-644.96752962
2018-08-30 08:22:00,-649.15752962
2018-08-30 08:23:00,-647.06252962
2018-08-30 08:24:00,-647.06252962
2018-08-30 08:25:00,-649.15752962
2018-08-30 08:26:00,-653.34752962
2018-08-30 08:27:00,-644.96752962
2018-08-30 08:28:00,-644.96752962
2018-08-30 08:29:00,-651.25252962
2018-08-30 08:30:00,-649.15752962
2018-08-30 08:31:00,-644.96752962
2018-08-30 08:32:00,-644.96752962
2018-08-30 08:33:00,-644.96752962
2018-08-30 08:34:00,-642.87252962
2018-08-30 08:35:00,-640.77752962
2018-08-30 08:36:00,-636.58752962
2018-08-30 08:37:00,-636.58752962
2018-08-30 08:38:00,-634.49252962
2018-08-30 08:39:00,-634.49252962
2018-08-30 08:40:00,-640.77752962
2018-08-30 08:41:00,-632.39752962
2018-08-30 08:42:00,-634.49252962
2018-08-30 08:43:00,-634.49252962
2018-08-30 08:44:00,-632.39752962
2018-08-30 08:45:00,-632.39752962
2018-08-30 08:46:00,-628.20752962
2018-08-30 08:47:00,-628.20752962
2018-08-30 08:48:00,-626.11252962
2018-08-30 08:49:00,-624.01752962
2018-08-30 08:50:00,-634.49252962
2018-08-30 08:51:00,-632.39752962
2018-08-30 08:52:00,-630.30252962
2018-08-30 08:53:00,-628.20752962
2018-08-30 08:54:00,-638.68252962
2018-08-30 08:55:00,-640.77752962
2018-08-30 08:56:00,-640.77752962
2018-08-30 08:57:00,-644.96752962
2018-08-30 08:58:00,-644.96752962
2018-08-30 08:59:00,-640.77752962
2018-08-30 09:00:00,-638.68252962
2018-08-30 09:01:00,-640.77752962
2018-08-30 09:02:00,-644.96752962
2018-08-30 09:03:00,-649.15752962
2018-08-30 09:04:00,-644.96752962
2018-08-30 09:05:00,-642.87252962
2018-08-30 09:06:00,-644.96752962
2018-08-30 09:07:00,-644.96752962
2018-08-30 09:08:00,-632.39752962
2018-08-30 09:09:00,-636.58752962
2018-08-30 09:10:00,-636.58752962
2018-08-30 09:11:00,-634.49252962
2018-08-30 09:12:00,-634.49252962
2018-08-30 09:13:00,-632.39752962
2018-08-30 09:14:00,-630.30252962
2018-08-30 09:15:00,-632.39752962
2018-08-30 09:16:00,-636.58752962
2018-08-30 09:17:00,-634.49252962
2018-08-30 09:18:00,-634.49252962
2018-08-30 09:19:00,-632.39752962
2018-08-30 09:20:00,-630.30252962
2018-08-30 09:21:00,-628.20752962
2018-08-30 09:22:00,-624.01752962
2018-08-30 09:23:00,-624.01752962
2018-08-30 09:24:00,-624.01752962
2018-08-30 09:25:00,-619.82752962
2018-08-30 09:26:00,-617.73252962
2018-08-30 09:27:00,-624.01752962
2018-08-30 09:28:00,-617.73252962
2018-08-30 09:29:00,-615.63752962
2018-08-30 09:30:00,-615.63752962
2018-08-30 09:31:00,-609.35252962
2018-08-30 09:32:00,-611.44752962
2018-08-30 09:33:00,-613.54252962
2018-08-30 09:34:00,-619.82752962
2018-08-30 09:35:00,-607.25752962
2018-08-30 09:36:00,-607.25752962
2018-08-30 09:37:00,-605.16252962
2018-08-30 09:38:00,-598.87752962
2018-08-30 09:39:00,-603.06752962
2018-08-30 09:40:00,-607.25752962
2018-08-30 09:41:00,-607.25752962
2018-08-30 09:42:00,-611.44752962
2018-08-30 09:43:00,-611.44752962
2018-08-30 09:44:00,-611.44752962
2018-08-30 09:45:00,-611.44752962
2018-08-30 09:46:00,-611.44752962
2018-08-30 09:47:00,-607.25752962
2018-08-30 09:48:00,-611.44752962
2018-08-30 09:49:00,-615.63752962
2018-08-30 09:50:00,-619.82752962
2018-08-30 09:51:00,-619.82752962
2018-08-30 09:52:00,-619.82752962
2018-08-30 09:53:00,-621.92252962
2018-08-30 09:54:00,-624.01752962
2018-08-30 09:55:00,-624.01752962
2018-08-30 09:56:00,-624.01752962
2018-08-30 09:57:00,-624.01752962
2018-08-30 09:58:00,-619.82752962
2018-08-30 09:59:00,-617.73252962
2018-08-30 10:00:00,-624.01752962
2018-08-30 10:01:00,-624.01752962
2018-08-30 10:02:00,-624.01752962
2018-08-30 10:03:00,-624.01752962
2018-08-30 10:04:00,-624.01752962
2018-08-30 10:05:00,-624.01752962
2018-08-30 10:06:00,-624.01752962
2018-08-30 10:07:00,-628.20752962
2018-08-30 10:08:00,-628.20752962
2018-08-30 10:09:00,-628.20752962
2018-08-30 10:10:00,-621.92252962
2018-08-30 10:11:00,-619.82752962
2018-08-30 10:12:00,-619.82752962
2018-08-30 10:13:00,-619.82752962
2018-08-30 10:14:00,-619.82752962
2018-08-30 10:15:00,-619.82752962
2018-08-30 10:16:00,-617.73252962
2018-08-30 10:17:00,-613.54252962
2018-08-30 10:18:00,-611.44752962
2018-08-30 10:19:00,-607.25752962
2018-08-30 10:20:00,-609.35252962
2018-08-30 10:21:00,-615.63752962
2018-08-30 10:22:00,-615.63752962
2018-08-30 10:23:00,-607.25752962
2018-08-30 10:24:00,-609.35252962
2018-08-30 10:25:00,-611.44752962
2018-08-30 10:26:00,-611.44752962
