,BTS
2018-09-11 09:10:00,22714.1114478
2018-09-11 09:11:00,22710.9977478
2018-09-11 09:12:00,22698.5429478
2018-09-11 09:13:00,22692.3155478
2018-09-11 09:14:00,22701.6566478
2018-09-11 09:15:00,22698.5429478
2018-09-11 09:16:00,22698.5429478
2018-09-11 09:17:00,22692.3155478
2018-09-11 09:18:00,22698.5429478
2018-09-11 09:19:00,22692.3155478
2018-09-11 09:20:00,22698.5429478
2018-09-11 09:21:00,22698.5429478
2018-09-11 09:22:00,22686.0881478
2018-09-11 09:23:00,22686.0881478
2018-09-11 09:24:00,22692.3155478
2018-09-11 09:25:00,22692.3155478
2018-09-11 09:26:00,22692.3155478
2018-09-11 09:27:00,22698.5429478
2018-09-11 09:28:00,22698.5429478
2018-09-11 09:29:00,22698.5429478
2018-09-11 09:30:00,22698.5429478
2018-09-11 09:31:00,22698.5429478
2018-09-11 09:32:00,22698.5429478
2018-09-11 09:33:00,22692.3155478
2018-09-11 09:34:00,22689.2018478
2018-09-11 09:35:00,22689.2018478
2018-09-11 09:36:00,22692.3155478
2018-09-11 09:37:00,22698.5429478
2018-09-11 09:38:00,22698.5429478
2018-09-11 09:39:00,22704.7703478
2018-09-11 09:40:00,22704.7703478
2018-09-11 09:41:00,22704.7703478
2018-09-11 09:42:00,22698.5429478
2018-09-11 09:43:00,22710.9977478
2018-09-11 09:44:00,22704.7703478
2018-09-11 09:45:00,22698.5429478
2018-09-11 09:46:00,22692.3155478
2018-09-11 09:47:00,22692.3155478
2018-09-11 09:48:00,22704.7703478
2018-09-11 09:49:00,22698.5429478
2018-09-11 09:50:00,22692.3155478
2018-09-11 09:51:00,22679.8607478
2018-09-11 09:52:00,22692.3155478
2018-09-11 09:53:00,22689.2018478
2018-09-11 09:54:00,22686.0881478
2018-09-11 09:55:00,22686.0881478
2018-09-11 09:56:00,22686.0881478
2018-09-11 09:57:00,22689.2018478
2018-09-11 09:58:00,22686.0881478
2018-09-11 09:59:00,22673.6333478
2018-09-11 10:00:00,22673.6333478
