,RB11
2018-07-23 03:00:00,-2205585.55098
2018-07-23 03:01:00,-2205587.47248
2018-07-23 03:02:00,-2205577.09638
2018-07-23 03:03:00,-2205583.24518
2018-07-23 03:04:00,-2205593.62128
2018-07-23 03:05:00,-2205584.39808
2018-07-23 03:06:00,-2205589.77828
2018-07-23 03:07:00,-2205587.47248
2018-07-23 03:08:00,-2205587.08818
2018-07-23 03:09:00,-2205579.78648
2018-07-23 03:10:00,-2205577.86498
2018-07-23 03:11:00,-2205573.25338
2018-07-23 03:12:00,-2205580.93938
2018-07-23 03:13:00,-2205568.64178
2018-07-23 03:14:00,-2205572.86908
2018-07-23 03:15:00,-2205567.87318
2018-07-23 03:16:00,-2205569.41038
2018-07-23 03:17:00,-2205569.41038
2018-07-23 03:18:00,-2205560.18718
2018-07-23 03:19:00,-2205559.41858
2018-07-23 03:20:00,-2205558.64998
2018-07-23 03:21:00,-2205552.50118
2018-07-23 03:22:00,-2205553.26978
2018-07-23 03:23:00,-2205562.10868
2018-07-23 03:24:00,-2205565.18308
2018-07-23 03:25:00,-2205557.49708
2018-07-23 03:26:00,-2205562.10868
2018-07-23 03:27:00,-2205566.72028
2018-07-23 03:28:00,-2205562.87728
2018-07-23 03:29:00,-2205550.96398
2018-07-23 03:30:00,-2205548.27388
2018-07-23 03:31:00,-2205544.04658
2018-07-23 03:32:00,-2205551.73258
2018-07-23 03:33:00,-2205558.64998
2018-07-23 03:34:00,-2205551.34828
2018-07-23 03:35:00,-2205549.04248
2018-07-23 03:36:00,-2205542.12508
2018-07-23 03:37:00,-2205546.73668
2018-07-23 03:38:00,-2205531.36468
2018-07-23 03:39:00,-2205536.74488
2018-07-23 03:40:00,-2205530.59608
2018-07-23 03:41:00,-2205536.74488
2018-07-23 03:42:00,-2205544.81518
2018-07-23 03:43:00,-2205532.90188
2018-07-23 03:44:00,-2205540.20358
2018-07-23 03:45:00,-2205545.58378
2018-07-23 03:46:00,-2205543.66228
2018-07-23 03:47:00,-2205535.20768
2018-07-23 03:48:00,-2205538.28208
2018-07-23 03:49:00,-2205545.19948
2018-07-23 03:50:00,-2205541.35648
2018-07-23 03:51:00,-2205539.81928
2018-07-23 03:52:00,-2205535.97628
2018-07-23 03:53:00,-2205539.05068
2018-07-23 03:54:00,-2205532.90188
2018-07-23 03:55:00,-2205529.82748
2018-07-23 03:56:00,-2205517.52988
2018-07-23 03:57:00,-2205516.37698
2018-07-23 03:58:00,-2205517.91418
