,CGB
2018-07-16 05:13:00,15867.7110144
2018-07-16 05:14:00,15867.7110144
2018-07-16 05:15:00,15878.0953464
2018-07-16 05:16:00,15878.0953464
2018-07-16 05:17:00,15883.2875124
2018-07-16 05:18:00,15893.6718444
2018-07-16 05:19:00,15898.8640104
2018-07-16 05:20:00,15898.8640104
2018-07-16 05:21:00,15904.0561764
2018-07-16 05:22:00,15904.0561764
2018-07-16 05:23:00,15904.0561764
2018-07-16 05:24:00,15919.6326744
2018-07-16 05:25:00,15919.6326744
2018-07-16 05:26:00,15924.8248404
2018-07-16 05:27:00,15924.8248404
2018-07-16 05:28:00,15924.8248404
2018-07-16 05:29:00,15930.0170064
2018-07-16 05:30:00,15935.2091724
2018-07-16 05:31:00,15940.4013384
2018-07-16 05:32:00,15940.4013384
2018-07-16 05:33:00,15940.4013384
2018-07-16 05:34:00,15940.4013384
2018-07-16 05:35:00,15940.4013384
2018-07-16 05:36:00,15940.4013384
2018-07-16 05:37:00,15940.4013384
2018-07-16 05:38:00,15930.0170064
2018-07-16 05:39:00,15930.0170064
2018-07-16 05:40:00,15930.0170064
2018-07-16 05:41:00,15930.0170064
2018-07-16 05:42:00,15935.2091724
2018-07-16 05:43:00,15932.6130894
2018-07-16 05:44:00,15935.2091724
2018-07-16 05:45:00,15940.4013384
2018-07-16 05:46:00,15940.4013384
2018-07-16 05:47:00,15950.7856704
2018-07-16 05:48:00,15950.7856704
2018-07-16 05:49:00,15950.7856704
2018-07-16 05:50:00,15955.9778364
2018-07-16 05:51:00,15966.3621684
2018-07-16 05:52:00,15953.3817534
2018-07-16 05:53:00,15950.7856704
2018-07-16 05:54:00,15950.7856704
2018-07-16 05:55:00,15945.5935044
2018-07-16 05:56:00,15945.5935044
2018-07-16 05:57:00,15940.4013384
2018-07-16 05:58:00,15935.2091724
2018-07-16 05:59:00,15930.0170064
2018-07-16 06:00:00,15940.4013384
2018-07-16 06:01:00,15940.4013384
2018-07-16 06:02:00,15945.5935044
2018-07-16 06:03:00,15950.7856704
2018-07-16 06:04:00,15950.7856704
2018-07-16 06:05:00,15935.2091724
2018-07-16 06:06:00,15930.0170064
2018-07-16 06:07:00,15930.0170064
2018-07-16 06:08:00,15919.6326744
2018-07-16 06:09:00,15914.4405084
2018-07-16 06:10:00,15922.2287574
2018-07-16 06:11:00,15922.2287574
2018-07-16 06:12:00,15930.0170064
2018-07-16 06:13:00,15945.5935044
2018-07-16 06:14:00,15945.5935044
2018-07-16 06:15:00,15935.2091724
2018-07-16 06:16:00,15937.8052554
2018-07-16 06:17:00,15940.4013384
2018-07-16 06:18:00,15950.7856704
2018-07-16 06:19:00,15955.9778364
2018-07-16 06:20:00,15955.9778364
2018-07-16 06:21:00,15950.7856704
2018-07-16 06:22:00,15945.5935044
2018-07-16 06:23:00,15945.5935044
2018-07-16 06:24:00,15937.8052554
2018-07-16 06:25:00,15940.4013384
2018-07-16 06:26:00,15937.8052554
2018-07-16 06:27:00,15930.0170064
2018-07-16 06:28:00,15932.6130894
2018-07-16 06:29:00,15932.6130894
2018-07-16 06:30:00,15930.0170064
2018-07-16 06:31:00,15919.6326744
2018-07-16 06:32:00,15914.4405084
2018-07-16 06:33:00,15909.2483424
2018-07-16 06:34:00,15914.4405084
2018-07-16 06:35:00,15914.4405084
2018-07-16 06:36:00,15909.2483424
2018-07-16 06:37:00,15909.2483424
2018-07-16 06:38:00,15909.2483424
2018-07-16 06:39:00,15909.2483424
2018-07-16 06:40:00,15914.4405084
2018-07-16 06:41:00,15909.2483424
2018-07-16 06:42:00,15909.2483424
2018-07-16 06:43:00,15909.2483424
2018-07-16 06:44:00,15914.4405084
2018-07-16 06:45:00,15909.2483424
2018-07-16 06:46:00,15909.2483424
2018-07-16 06:47:00,15909.2483424
