,NQ
2018-08-19 17:36:00,38256.7555906
2018-08-19 17:37:00,38252.6755906
2018-08-19 17:38:00,38256.7555906
2018-08-19 17:39:00,38259.8155906
2018-08-19 17:40:00,38255.7355906
2018-08-19 17:41:00,38256.7555906
2018-08-19 17:42:00,38259.8155906
2018-08-19 17:43:00,38261.3455906
2018-08-19 17:44:00,38262.8755906
2018-08-19 17:45:00,38263.8955906
2018-08-19 17:46:00,38258.7955906
2018-08-19 17:47:00,38258.2855906
2018-08-19 17:48:00,38258.2855906
2018-08-19 17:49:00,38256.7555906
2018-08-19 17:50:00,38253.6955906
2018-08-19 17:51:00,38259.3055906
2018-08-19 17:52:00,38261.3455906
2018-08-19 17:53:00,38263.3855906
2018-08-19 17:54:00,38265.4255906
2018-08-19 17:55:00,38264.9155906
2018-08-19 17:56:00,38264.9155906
2018-08-19 17:57:00,38262.8755906
2018-08-19 17:58:00,38263.8955906
2018-08-19 17:59:00,38263.8955906
2018-08-19 18:00:00,38264.9155906
2018-08-19 18:01:00,38265.9355906
2018-08-19 18:02:00,38259.3055906
2018-08-19 18:03:00,38258.2855906
2018-08-19 18:04:00,38256.7555906
2018-08-19 18:05:00,38254.7155906
2018-08-19 18:06:00,38254.7155906
