,SXF
2018-07-20 13:36:00,18126.1291675
2018-07-20 13:37:00,18129.3524155
2018-07-20 13:38:00,18126.1291675
2018-07-20 13:39:00,18126.1291675
2018-07-20 13:40:00,18122.9059195
2018-07-20 13:41:00,18122.9059195
2018-07-20 13:42:00,18119.6826715
2018-07-20 13:43:00,18119.6826715
2018-07-20 13:44:00,18119.6826715
2018-07-20 13:45:00,18116.4594235
2018-07-20 13:46:00,18118.0710475
2018-07-20 13:47:00,18113.2361755
2018-07-20 13:48:00,18119.6826715
2018-07-20 13:49:00,18119.6826715
2018-07-20 13:50:00,18119.6826715
2018-07-20 13:51:00,18119.6826715
2018-07-20 13:52:00,18126.1291675
2018-07-20 13:53:00,18129.3524155
2018-07-20 13:54:00,18129.3524155
2018-07-20 13:55:00,18129.3524155
2018-07-20 13:56:00,18129.3524155
2018-07-20 13:57:00,18132.5756635
2018-07-20 13:58:00,18129.3524155
2018-07-20 13:59:00,18126.1291675
2018-07-20 14:00:00,18129.3524155
2018-07-20 14:01:00,18126.1291675
2018-07-20 14:02:00,18122.9059195
2018-07-20 14:03:00,18122.9059195
2018-07-20 14:04:00,18116.4594235
2018-07-20 14:05:00,18116.4594235
2018-07-20 14:06:00,18113.2361755
2018-07-20 14:07:00,18119.6826715
2018-07-20 14:08:00,18145.4686555
2018-07-20 14:09:00,18142.2454075
2018-07-20 14:10:00,18143.8570315
2018-07-20 14:11:00,18142.2454075
2018-07-20 14:12:00,18139.0221595
2018-07-20 14:13:00,18142.2454075
2018-07-20 14:14:00,18139.0221595
2018-07-20 14:15:00,18139.0221595
2018-07-20 14:16:00,18139.0221595
2018-07-20 14:17:00,18135.7989115
2018-07-20 14:18:00,18137.4105355
2018-07-20 14:19:00,18137.4105355
2018-07-20 14:20:00,18142.2454075
2018-07-20 14:21:00,18135.7989115
2018-07-20 14:22:00,18139.0221595
2018-07-20 14:23:00,18135.7989115
2018-07-20 14:24:00,18132.5756635
2018-07-20 14:25:00,18132.5756635
2018-07-20 14:26:00,18132.5756635
2018-07-20 14:27:00,18132.5756635
2018-07-20 14:28:00,18132.5756635
2018-07-20 14:29:00,18129.3524155
2018-07-20 14:30:00,18132.5756635
2018-07-20 14:31:00,18129.3524155
2018-07-20 14:32:00,18130.9640395
2018-07-20 14:33:00,18126.1291675
2018-07-20 14:34:00,18129.3524155
2018-07-20 14:35:00,18127.7407915
2018-07-20 14:36:00,18126.1291675
2018-07-20 14:37:00,18126.1291675
2018-07-20 14:38:00,18126.1291675
2018-07-20 14:39:00,18126.1291675
2018-07-20 14:40:00,18129.3524155
2018-07-20 14:41:00,18129.3524155
2018-07-20 14:42:00,18129.3524155
2018-07-20 14:43:00,18129.3524155
2018-07-20 14:44:00,18132.5756635
2018-07-20 14:45:00,18129.3524155
2018-07-20 14:46:00,18129.3524155
2018-07-20 14:47:00,18129.3524155
2018-07-20 14:48:00,18119.6826715
2018-07-20 14:49:00,18116.4594235
2018-07-20 14:50:00,18116.4594235
2018-07-20 14:51:00,18116.4594235
2018-07-20 14:52:00,18106.7896795
2018-07-20 14:53:00,18100.3431835
2018-07-20 14:54:00,18103.5664315
2018-07-20 14:55:00,18101.9548075
2018-07-20 14:56:00,18106.7896795
2018-07-20 14:57:00,18113.2361755
2018-07-20 14:58:00,18119.6826715
2018-07-20 14:59:00,18145.4686555
2018-07-20 15:00:00,18142.2454075
2018-07-20 15:01:00,18148.6919035
2018-07-20 15:02:00,18147.0802795
2018-07-20 15:03:00,18143.8570315
2018-07-20 15:04:00,18145.4686555
2018-07-20 15:05:00,18145.4686555
2018-07-20 15:06:00,18142.2454075
2018-07-20 15:07:00,18139.0221595
2018-07-20 15:08:00,18135.7989115
2018-07-20 15:09:00,18132.5756635
2018-07-20 15:10:00,18127.7407915
2018-07-20 15:11:00,18124.5175435
2018-07-20 15:12:00,18118.0710475
2018-07-20 15:13:00,18121.2942955
2018-07-20 15:14:00,18134.1872875
2018-07-23 04:59:00,18157.2671322
2018-07-23 05:00:00,18155.4928822
2018-07-23 05:01:00,18164.3641322
2018-07-23 05:02:00,18160.8156322
2018-07-23 05:03:00,18162.5898822
2018-07-23 05:04:00,18150.1701322
2018-07-23 05:05:00,18150.1701322
2018-07-23 05:06:00,18150.1701322
2018-07-23 05:07:00,18153.7186322
2018-07-23 05:08:00,18155.4928822
2018-07-23 05:09:00,18162.5898822
2018-07-23 05:10:00,18173.2353822
2018-07-23 05:11:00,18164.3641322
2018-07-23 05:12:00,18153.7186322
2018-07-23 05:13:00,18155.4928822
2018-07-23 05:14:00,18155.4928822
2018-07-23 05:15:00,18144.8473822
2018-07-23 05:16:00,18146.6216322
2018-07-23 05:17:00,18143.0731322
2018-07-23 05:18:00,18143.0731322
2018-07-23 05:19:00,18143.0731322
2018-07-23 05:20:00,18143.0731322
2018-07-23 05:21:00,18143.0731322
2018-07-23 05:22:00,18141.2988822
2018-07-23 05:23:00,18141.2988822
2018-07-23 05:24:00,18134.2018822
2018-07-23 05:25:00,18134.2018822
2018-07-23 05:26:00,18134.2018822
2018-07-23 05:27:00,18132.4276322
2018-07-23 05:28:00,18130.6533822
2018-07-23 05:29:00,18130.6533822
2018-07-23 05:30:00,18128.8791322
2018-07-23 05:31:00,18128.8791322
2018-07-23 05:32:00,18127.1048822
2018-07-23 05:33:00,18128.8791322
2018-07-23 05:34:00,18128.8791322
2018-07-23 05:35:00,18128.8791322
2018-07-23 05:36:00,18127.1048822
2018-07-23 05:37:00,18127.1048822
2018-07-23 05:38:00,18127.1048822
2018-07-23 05:39:00,18127.1048822
2018-07-23 05:40:00,18123.5563822
2018-07-23 05:41:00,18121.7821322
2018-07-23 05:42:00,18118.2336322
2018-07-23 05:43:00,18116.4593822
2018-07-23 05:44:00,18112.9108822
2018-07-23 05:45:00,18114.6851322
2018-07-23 05:46:00,18112.9108822
2018-07-23 05:47:00,18116.4593822
2018-07-23 05:48:00,18114.6851322
2018-07-23 05:49:00,18114.6851322
2018-07-23 05:50:00,18114.6851322
2018-07-23 05:51:00,18114.6851322
2018-07-23 05:52:00,18114.6851322
2018-07-23 05:53:00,18114.6851322
2018-07-23 05:54:00,18114.6851322
2018-07-23 05:55:00,18116.4593822
2018-07-23 05:56:00,18120.0078822
2018-07-23 05:57:00,18120.0078822
2018-07-23 05:58:00,18120.0078822
2018-07-23 05:59:00,18120.0078822
2018-07-23 06:00:00,18120.0078822
