,GBL
2018-01-10 09:27:00,42288.2441852
2018-01-10 09:28:00,42288.2441852
2018-01-10 09:29:00,42288.2441852
2018-01-10 09:30:00,42275.6383452
2018-01-10 09:31:00,42281.9412652
2018-01-10 09:32:00,42281.9412652
2018-01-10 09:33:00,42294.5471052
2018-01-10 09:34:00,42281.9412652
2018-01-10 09:35:00,42275.6383452
2018-01-10 09:36:00,42263.0325052
2018-01-10 09:37:00,42256.7295852
2018-01-10 09:38:00,42256.7295852
2018-01-10 09:39:00,42256.7295852
2018-01-10 09:40:00,42256.7295852
2018-01-10 09:41:00,42250.4266652
2018-01-10 09:42:00,42244.1237452
2018-01-10 09:43:00,42244.1237452
2018-01-10 09:44:00,42244.1237452
2018-01-10 09:45:00,42231.5179052
2018-01-10 09:46:00,42237.8208252
2018-01-10 09:47:00,42237.8208252
2018-01-10 09:48:00,42237.8208252
2018-01-10 09:49:00,42237.8208252
2018-01-10 09:50:00,42231.5179052
2018-01-10 09:51:00,42225.2149852
2018-01-10 09:52:00,42237.8208252
2018-01-10 09:53:00,42231.5179052
2018-01-10 09:54:00,42225.2149852
2018-01-10 09:55:00,42225.2149852
2018-01-10 09:56:00,42212.6091452
2018-01-10 09:57:00,42218.9120652
2018-01-10 09:58:00,42212.6091452
2018-01-10 09:59:00,42200.0033052
2018-01-10 10:00:00,42212.6091452
2018-01-10 10:01:00,42225.2149852
2018-01-10 10:02:00,42218.9120652
2018-01-10 10:03:00,42225.2149852
2018-01-10 10:04:00,42225.2149852
2018-01-10 10:05:00,42231.5179052
2018-01-10 10:06:00,42231.5179052
2018-01-10 10:07:00,42231.5179052
2018-01-10 10:08:00,42231.5179052
2018-01-10 10:09:00,42231.5179052
2018-01-10 10:10:00,42225.2149852
2018-01-10 10:11:00,42218.9120652
2018-01-10 10:12:00,42206.3062252
2018-01-10 10:13:00,42218.9120652
2018-01-10 10:14:00,42212.6091452
2018-01-10 10:15:00,42231.5179052
2018-01-10 10:16:00,42256.7295852
2018-01-10 10:17:00,42253.5781252
2018-01-10 10:18:00,42256.7295852
2018-01-10 10:19:00,42244.1237452
2018-01-10 10:20:00,42237.8208252
2018-01-10 10:21:00,42244.1237452
2018-01-10 10:22:00,42244.1237452
2018-01-10 10:23:00,42244.1237452
2018-01-10 10:24:00,42250.4266652
2018-01-10 10:25:00,42244.1237452
2018-01-10 10:26:00,42237.8208252
2018-01-10 10:27:00,42231.5179052
2018-01-10 10:28:00,42237.8208252
2018-01-10 10:29:00,42244.1237452
2018-01-10 10:30:00,42244.1237452
2018-01-10 10:31:00,42250.4266652
2018-01-10 10:32:00,42250.4266652
2018-01-10 10:33:00,42250.4266652
2018-01-10 10:34:00,42237.8208252
2018-01-10 10:35:00,42237.8208252
2018-01-10 10:36:00,42237.8208252
2018-01-10 10:37:00,42237.8208252
2018-01-10 10:38:00,42231.5179052
2018-01-10 10:39:00,42231.5179052
2018-01-10 10:40:00,42231.5179052
2018-01-10 10:41:00,42231.5179052
2018-01-10 10:42:00,42231.5179052
2018-01-10 10:43:00,42234.6693652
2018-01-10 10:44:00,42231.5179052
2018-01-10 10:45:00,42231.5179052
2018-01-10 10:46:00,42231.5179052
2018-01-10 10:47:00,42237.8208252
2018-01-10 10:48:00,42237.8208252
2018-01-10 10:49:00,42247.2752052
2018-01-10 10:50:00,42250.4266652
2018-01-10 10:51:00,42244.1237452
2018-01-10 10:52:00,42244.1237452
2018-01-10 10:53:00,42244.1237452
2018-01-10 10:54:00,42244.1237452
2018-01-10 10:55:00,42244.1237452
2018-01-10 10:56:00,42250.4266652
2018-01-10 10:57:00,42256.7295852
2018-01-10 10:58:00,42263.0325052
2018-01-10 10:59:00,42263.0325052
2018-01-10 11:00:00,42256.7295852
2018-01-10 11:01:00,42256.7295852
2018-01-10 11:02:00,42256.7295852
2018-01-10 11:03:00,42256.7295852
2018-01-10 11:04:00,42244.1237452
2018-01-10 11:05:00,42250.4266652
2018-01-10 11:06:00,42256.7295852
2018-01-10 11:07:00,42263.0325052
2018-01-10 11:08:00,42263.0325052
2018-01-10 11:09:00,42263.0325052
2018-01-10 11:10:00,42263.0325052
2018-01-10 11:11:00,42263.0325052
2018-01-10 11:12:00,42269.3354252
2018-01-10 11:13:00,42269.3354252
2018-01-10 11:14:00,42269.3354252
2018-01-10 11:15:00,42269.3354252
2018-01-10 11:16:00,42269.3354252
2018-01-10 11:17:00,42263.0325052
2018-01-10 11:18:00,42256.7295852
2018-01-10 11:19:00,42256.7295852
2018-01-10 11:20:00,42263.0325052
2018-01-10 11:21:00,42256.7295852
2018-01-10 11:22:00,42250.4266652
2018-01-10 11:23:00,42244.1237452
2018-01-10 11:24:00,42250.4266652
2018-01-10 11:25:00,42250.4266652
2018-01-10 11:26:00,42250.4266652
2018-01-10 11:27:00,42250.4266652
2018-01-10 11:28:00,42250.4266652
2018-01-10 11:29:00,42244.1237452
2018-01-10 11:30:00,42250.4266652
2018-01-10 11:31:00,42250.4266652
2018-01-10 11:32:00,42256.7295852
2018-01-10 11:33:00,42256.7295852
2018-01-10 11:34:00,42256.7295852
2018-01-10 11:35:00,42256.7295852
2018-01-10 11:36:00,42263.0325052
2018-01-10 11:37:00,42263.0325052
2018-01-10 11:38:00,42263.0325052
2018-01-10 11:39:00,42263.0325052
2018-01-10 11:40:00,42263.0325052
2018-01-10 11:41:00,42263.0325052
2018-01-10 11:42:00,42263.0325052
2018-01-10 11:43:00,42263.0325052
2018-01-10 11:44:00,42263.0325052
2018-01-10 11:45:00,42263.0325052
2018-01-10 11:46:00,42263.0325052
2018-01-10 11:47:00,42263.0325052
2018-01-10 11:48:00,42263.0325052
2018-01-10 11:49:00,42263.0325052
2018-01-10 11:50:00,42263.0325052
2018-01-10 11:51:00,42263.0325052
2018-01-10 11:52:00,42263.0325052
2018-01-10 11:53:00,42263.0325052
2018-01-10 11:54:00,42263.0325052
2018-01-10 11:55:00,42263.0325052
2018-01-10 11:56:00,42263.0325052
2018-01-10 11:57:00,42269.3354252
2018-01-10 11:58:00,42269.3354252
2018-01-10 11:59:00,42263.0325052
2018-01-10 12:00:00,42263.0325052
2018-01-10 12:01:00,42275.6383452
2018-01-10 12:02:00,42275.6383452
2018-01-10 12:03:00,42275.6383452
2018-01-10 12:04:00,42275.6383452
2018-01-10 12:05:00,42288.2441852
2018-01-10 12:06:00,42288.2441852
2018-01-10 12:07:00,42300.8500252
2018-01-10 12:08:00,42300.8500252
2018-01-10 12:09:00,42300.8500252
2018-01-10 12:10:00,42300.8500252
2018-01-10 12:11:00,42300.8500252
2018-01-10 12:12:00,42300.8500252
2018-01-10 12:13:00,42300.8500252
2018-01-10 12:14:00,42300.8500252
2018-01-10 12:15:00,42307.1529452
2018-01-10 12:16:00,42307.1529452
2018-01-10 12:17:00,42300.8500252
2018-01-10 12:18:00,42300.8500252
2018-01-10 12:19:00,42300.8500252
2018-01-10 12:20:00,42300.8500252
2018-01-10 12:21:00,42300.8500252
2018-01-10 12:22:00,42304.0014852
2018-01-10 12:23:00,42300.8500252
2018-01-10 12:24:00,42307.1529452
2018-01-10 12:25:00,42300.8500252
2018-01-10 12:26:00,42300.8500252
2018-01-10 12:27:00,42307.1529452
2018-01-10 12:28:00,42300.8500252
2018-01-10 12:29:00,42300.8500252
2018-01-10 12:30:00,42307.1529452
2018-01-10 12:31:00,42307.1529452
2018-01-10 12:32:00,42307.1529452
2018-01-10 12:33:00,42313.4558652
2018-01-10 12:34:00,42319.7587852
2018-01-10 12:35:00,42319.7587852
2018-01-10 12:36:00,42322.9102452
2018-01-10 12:37:00,42326.0617052
2018-01-10 12:38:00,42326.0617052
2018-01-10 12:39:00,42322.9102452
2018-01-10 12:40:00,42319.7587852
2018-01-10 12:41:00,42319.7587852
2018-01-10 12:42:00,42319.7587852
2018-01-10 12:43:00,42319.7587852
2018-01-10 12:44:00,42319.7587852
2018-01-10 12:45:00,42319.7587852
2018-01-10 12:46:00,42326.0617052
2018-01-10 12:47:00,42326.0617052
2018-01-10 12:48:00,42326.0617052
2018-01-10 12:49:00,42326.0617052
2018-01-10 12:50:00,42326.0617052
2018-01-10 12:51:00,42326.0617052
2018-01-10 12:52:00,42326.0617052
2018-01-10 12:53:00,42326.0617052
2018-01-10 12:54:00,42326.0617052
2018-01-10 12:55:00,42326.0617052
2018-01-10 12:56:00,42332.3646252
2018-01-10 12:57:00,42332.3646252
2018-01-10 12:58:00,42332.3646252
2018-01-10 12:59:00,42326.0617052
2018-01-11 01:00:00,42376.4850652
2018-01-11 01:01:00,42401.6967452
2018-01-11 01:02:00,42395.3938252
2018-01-11 01:03:00,42401.6967452
2018-01-11 01:04:00,42407.9996652
2018-01-11 01:05:00,42414.3025852
2018-01-11 01:06:00,42401.6967452
2018-01-11 01:07:00,42389.0909052
2018-01-11 01:08:00,42382.7879852
2018-01-11 01:09:00,42382.7879852
2018-01-11 01:10:00,42382.7879852
2018-01-11 01:11:00,42407.9996652
2018-01-11 01:12:00,42426.9084252
2018-01-11 01:13:00,42414.3025852
2018-01-11 01:14:00,42426.9084252
2018-01-11 01:15:00,42426.9084252
2018-01-11 01:16:00,42426.9084252
2018-01-11 01:17:00,42439.5142652
2018-01-11 01:18:00,42439.5142652
2018-01-11 01:19:00,42439.5142652
2018-01-11 01:20:00,42433.2113452
2018-01-11 01:21:00,42426.9084252
2018-01-11 01:22:00,42426.9084252
2018-01-11 01:23:00,42420.6055052
2018-01-11 01:24:00,42420.6055052
2018-01-11 01:25:00,42426.9084252
2018-01-11 01:26:00,42420.6055052
2018-01-11 01:27:00,42420.6055052
2018-01-11 01:28:00,42426.9084252
2018-01-11 01:29:00,42433.2113452
2018-01-11 01:30:00,42420.6055052
2018-01-11 01:31:00,42420.6055052
2018-01-11 01:32:00,42420.6055052
2018-01-11 01:33:00,42401.6967452
2018-01-11 01:34:00,42401.6967452
2018-01-11 01:35:00,42389.0909052
2018-01-11 01:36:00,42395.3938252
2018-01-11 01:37:00,42395.3938252
2018-01-11 01:38:00,42395.3938252
2018-01-11 01:39:00,42401.6967452
2018-01-11 01:40:00,42395.3938252
2018-01-11 01:41:00,42395.3938252
2018-01-11 01:42:00,42395.3938252
2018-01-11 01:43:00,42401.6967452
2018-01-11 01:44:00,42407.9996652
2018-01-11 01:45:00,42420.6055052
2018-01-11 01:46:00,42426.9084252
2018-01-11 01:47:00,42420.6055052
2018-01-11 01:48:00,42420.6055052
2018-01-11 01:49:00,42414.3025852
2018-01-11 01:50:00,42414.3025852
2018-01-11 01:51:00,42426.9084252
2018-01-11 01:52:00,42439.5142652
2018-01-11 01:53:00,42420.6055052
2018-01-11 01:54:00,42433.2113452
2018-01-11 01:55:00,42433.2113452
2018-01-11 01:56:00,42439.5142652
2018-01-11 01:57:00,42439.5142652
2018-01-11 01:58:00,42452.1201052
2018-01-11 01:59:00,42439.5142652
2018-01-11 02:00:00,42426.9084252
2018-01-11 02:01:00,42414.3025852
2018-01-11 02:02:00,42414.3025852
2018-01-11 02:03:00,42420.6055052
2018-01-11 02:04:00,42426.9084252
